snapshot_year,open_date,latitude,longitude,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_num
2014,2012-08-31,36.673856,-121.665804,,2,
2014,2012-08-29,38.1022,-122.261,,2,
2014,2011-08-01,37.782079,-122.404764,,2,
2014,2012-11-27,34.144224,-118.142129,,6,
2014,2012-11-27,34.148186,-118.141776,,4,
2014,2012-12-20,34.441146,-119.748892,,2,
2014,2014-12-31,34.253049,-118.598675,,3,
2014,2012-12-20,37.7153,-122.2145,,2,
2014,2013-01-22,33.49353,-117.146,,2,
2014,2013-02-15,37.42153,-122.14477,,2,
2014,2013-01-25,38.54215,-121.771,,2,
2014,2013-02-01,38.797142,-121.31234,,2,
2014,2013-02-21,38.431454,-121.299343,,1,
2014,2013-02-28,38.676631,-121.179577,,2,
2014,2013-02-21,38.568681,-121.492654,,2,
2014,2013-02-26,39.324006,-120.169783,,2,
2014,2013-04-01,33.730812,-116.38184,,3,
2014,2013-03-27,33.886925,-118.409726,,11,
2014,2013-03-19,37.430039,-122.147944,,2,
2014,2013-03-19,37.419672,-122.112723,,1,
2014,2013-03-26,34.077429,-117.81619,,2,
2014,2013-03-09,38.007147,-122.554769,,2,
2014,2013-05-01,34.409885,-119.69729,,1,
2014,2013-03-15,34.610085,-120.086464,,10,
2014,2013-03-27,34.283707,-118.781297,,2,
2014,2013-03-07,33.829433,-116.512914,,1,
2014,2013-08-07,33.819685,-116.521241,,2,
2014,2013-03-11,33.824715,-116.511192,,2,
2014,2013-03-07,33.822673,-116.51192,,2,
2014,2013-08-05,33.825249,-116.536722,,4,
2014,2013-08-07,33.843822,-116.529304,,2,
2014,2013-03-11,33.819689,-116.545883,,2,
2014,2013-03-11,33.828745,-116.515654,,1,
2014,2013-03-11,33.821773,-116.51006,,4,
2014,2013-09-01,33.867738,-116.552297,,2,
2014,2013-03-11,33.818721,-116.526678,,1,
2014,2013-08-06,33.820689,-116.547468,,2,
2014,2013-08-14,33.858372,-116.558122,,2,
2014,2013-09-01,33.837311,-116.540856,,1,
2014,2013-08-01,39.19591,-120.236254,,4,
2014,2013-08-23,33.726886,-117.800108,,1,
2014,2013-07-16,34.104235,-118.711535,,2,
2014,2013-07-23,38.24922,-122.041825,,8,
2014,2013-07-01,33.911161,-117.290022,,2,
2014,2013-09-15,38.596397,-121.49862,,2,
2014,2013-03-28,38.9032,-121.083857,,5,
2014,2013-03-06,38.533624,-121.759346,,9,
2014,2013-03-20,38.57894,-121.503857,,4,
2014,2013-03-05,34.605901,-120.101372,,2,
2014,2013-07-01,34.148874,-118.148914,,3,
2014,2013-07-01,33.887622,-117.838402,,1,
2014,2012-01-01,40.807267,-124.114418,,1,
2014,2013-11-01,33.737588,-117.030106,,1,
2014,2013-11-15,32.744765,-117.030389,,1,
2014,2013-08-26,34.051634,-117.820001,16,24,
2014,2013-12-01,32.80377,-117.218255,,4,
2014,2013-11-01,34.922993,-120.423064,,1,
2014,2013-11-01,34.1629744,-118.8282546,,1,
2014,2013-11-01,33.196108,-117.250815,,2,
2014,2014-01-20,34.155502,-118.258897,,2,
2014,2014-01-01,34.068005,-118.444049,,28,
2014,2012-07-18,33.458106,-117.107647,,10,
2014,2011-03-07,34.107363,-117.667072,1,,
2014,2014-03-11,37.700176,-121.892147,,2,
2014,2014-03-13,34.104155,-117.803402,,3,
2014,2014-03-24,38.553131,-121.434296,,19,
2014,2014-12-15,37.055147,-121.015402,10,,
2014,2014-01-01,35.61477,-121.145461,,1,
2014,2014-02-01,37.039479,-122.068751,,1,
2014,2011-02-01,37.810716,-122.263905,4,2,
2014,2014-04-01,38.679225,-121.753508,,2,
2014,2014-09-01,38.633369,-120.62423,1,,
2014,2014-07-01,33.872549,-118.360193,,1,
2014,2014-07-01,35.641205,-120.687141,,1,
2014,2014-08-01,33.9301594172696,-118.1594074,,25,
2014,2014-08-01,34.706156,-118.1248,,19,
2014,2014-08-01,34.055505,-118.248852,,40,6
2014,2014-08-01,34.055641,-118.244271,,4,
2014,2014-08-01,34.057657,-118.24789,,40,
2014,2014-08-01,34.060148,-118.250747,,40,12
2014,2014-08-01,33.928019,-118.225363,,2,
2014,2014-08-01,34.060685,-118.168137,,2,
2014,2014-08-01,34.416259,-118.551228,,3,
2014,2014-08-01,34.103101,-118.07617,,2,
2014,2014-08-01,34.084738,-118.383963,,2,
2014,2013-07-01,34.145121,-118.138228,,2,
2014,2013-07-01,34.144703,-118.146957,,5,40
2014,2014-08-01,38.542219,-121.771883,,1,
2014,2014-02-01,34.056077,-118.232293,,10,
2014,2014-09-01,40.575434,-124.264839,,1,
2014,2014-09-24,37.422105,-122.113507,,1,
2014,2013-12-01,33.950115,-118.166578,,1,
2014,2014-10-10,39.0979,-123.484338,,1,1
2014,2014-10-01,33.978488,-118.442785,,2,
2014,2014-10-01,33.831538,-118.294546,,8,
2014,2014-10-01,34.325912,-118.445513,,14,
2014,2014-10-01,33.916855,-118.133385,,41,
2014,2013-01-01,36.71552,-121.662804,,6,
2014,2013-09-01,34.16386621848126,-119.0417562473297,,2,
2014,2014-09-11,39.717216,-121.801107,,1,
2014,2014-12-01,38.89702,-121.074405,,1,
2014,2014-12-01,38.902182,-121.083175,,1,
2014,2014-12-10,34.543044,-120.191925,,1,
2014,2013-01-01,34.014299,-118.49638,,30,
2014,2014-02-01,33.929068,-118.109466,,2,
2014,2014-03-31,37.791983,-122.409718,,2,
2014,2014-04-01,33.9317483,-116.9459506,,2,
2014,2014-05-01,34.241917,-118.532194,,2,
2014,2014-05-01,34.242856,-118.532897,,4,
2014,2013-05-01,34.237626,-118.524479,,4,
2014,2013-05-01,34.237474,-118.526461,,3,
2014,2012-01-15,34.09846,-118.332885,,4,
2014,2014-01-02,34.017635,-118.289337,,40,
2014,2013-09-01,33.807635,-117.922193,1,,
2014,2014-09-01,32.62453,-117.1303,,4,
2014,2014-09-01,38.41816,-121.394898,,2,
2014,2013-04-09,33.746962,-116.967848,2,2,
2014,2012-07-13,38.65041,-121.345496,,14,
2014,2012-08-01,38.563944,-121.425722,,15,
2014,2014-10-01,32.735306,-117.176837,,1,
2014,2013-02-21,34.423434,-119.68182,,3,
2014,2011-10-24,39.166653,-120.14823,,1,
2014,2013-10-01,33.65408,-117.778087,,5,1
2014,2011-07-27,38.574402,-121.50487,51,,
2014,2013-09-30,33.78429,-118.12098,,2,
2014,2013-09-30,33.786682,-118.109671,,1,
2014,1999-10-15,34.01223,-118.334323,,12,4
2014,2013-12-31,33.944267,-118.399183,,28,
2014,2008-12-01,38.539319,-121.805298,1,1,
2014,2008-12-01,38.535524,-121.762984,1,1,
2014,2008-12-01,38.53111172782076,-121.7626930687256,1,1,
2014,2008-12-01,38.535656,-121.754574,2,1,
2014,2008-12-01,38.533127,-121.749398,2,14,
2014,2008-12-01,38.532775,-121.748494,2,16,
2014,2008-12-01,38.54308,-121.761568,1,1,
2014,2013-06-01,40.791885,-124.175027,,1,
2014,2011-05-01,38.117115,-122.6098,,1,
2014,2014-12-03,34.556681,-118.061582,,4,
2014,2012-05-31,32.704546,-117.157578,,3,
2014,2012-05-31,34.44402150367787,-119.7884881687445,,3,
2014,2014-08-28,37.80748,-122.4178309,,2,
2014,2012-11-15,33.131337,-117.309163,,3,
2014,2013-03-15,32.725234,-117.225473,,2,
2014,2013-02-15,32.770343,-117.159027,,3,
2014,2013-08-15,37.682743,-121.90053,,2,
2014,2013-04-15,37.530487416,-121.9148973,,5,
2014,2013-02-15,34.071196,-118.377094,,4,
2014,2014-09-30,32.886682,-117.244244,,4,
2014,2012-07-15,34.088515,-118.378373,,8,
2014,2012-11-15,37.67162546922959,-122.084774361438,,10,
2014,2012-07-15,32.983422,-117.270627,,3,
2014,2012-04-01,34.27922,-118.460143,,10,
2014,2012-04-01,34.27922,-118.460143,,7,
2014,2006-07-15,32.754954,-117.107457,,5,
2014,2012-04-01,32.716087,-117.14881,,5,
2014,2012-04-01,32.906289,-117.120996,,6,
2014,2013-03-15,37.367108,-121.848602,,2,
2014,2014-08-15,32.795991,-116.966365,,2,
2014,2012-01-15,32.804185,-117.165375,,5,
2014,2013-02-15,34.071163,-118.377019,,3,
2014,2014-05-01,37.333948,-121.894079,,4,
2014,2013-06-01,35.486585,-120.666378,,,8
2014,2013-06-01,34.849124,-117.085459,,,16
2014,2013-06-01,34.614635,-120.188531,,,20
2014,2013-06-01,36.254143,-120.23792,,,18
2014,2013-10-31,39.92646,-122.1984,,,8
2014,2013-06-01,38.642291,-121.18813,,,4
2014,2013-06-01,37.492713,-121.944627,,,12
2014,2013-06-01,37.02445,-121.56535,,,16
2014,2014-10-01,33.741291,-116.215029,,,46
2014,2013-06-01,34.98737,-118.946272,,,24
2014,2013-10-31,41.310222,-122.31731,,,4
2014,2014-10-01,34.238115,-119.178084,,,20
2014,2014-04-15,38.771208,-121.266149,,,7
2014,2014-05-01,33.498538,-117.66309,,,7
2014,2014-08-15,39.327438,-120.20741,,,11
2014,2013-12-15,38.366645,-121.958136,,,16
2014,2009-06-01,38.117115,-122.6098,,1,
2014,2014-11-18,36.950652,-121.876972,,4,
2014,2014-10-30,34.066653,-118.401002,,9,
2014,2014-04-07,36.228829,-121.764843,,3,
2014,2014-11-07,37.602645,-122.371,,1,
2014,2014-07-01,35.568983,-121.105261,,2,
2014,2014-11-12,35.573683,-121.112315,,2,
2014,2014-11-12,35.576504,-121.113529,,2,
2014,2014-08-29,33.097038,-117.283761,,5,
2014,2014-10-20,36.501896,-121.937487,,3,
2014,2014-11-03,36.555642,-121.924563,,2,
2014,2014-08-01,34.02053,-117.926766,,4,
2014,2014-06-27,33.691208,-117.893609,,4,
2014,2014-06-20,40.575456,-124.264533,,1,
2014,2014-11-26,38.490004,-122.883477,,3,
2014,2014-12-24,37.532181,-122.000213,,2,
2014,2014-10-23,38.504217,-122.770179,,2,
2014,2014-05-19,34.435065,-119.920236,,1,
2014,2014-08-06,37.839448,-120.229199,,1,
2014,2014-05-23,37.43374,-122.441248,,8,
2014,2014-11-20,33.723301,-116.329538,,4,
2014,2014-05-30,33.516102,-117.757461,,4,
2014,2014-07-21,34.2508,-117.191926,,2,
2014,2014-07-02,38.165257,-121.152498,,1,
2014,2014-07-07,34.054371,-118.411911,,3,
2014,2014-07-17,34.144974,-118.370105,,2,
2014,2014-11-05,34.101608,-118.325804,,6,
2014,2014-08-07,34.041963,-118.256607,,3,
2014,2014-10-15,37.64947,-118.986681,,5,
2014,2014-09-26,33.984106,-118.450709,,4,
2014,2014-10-30,39.315496,-123.799205,,3,
2014,2014-05-26,34.446845,-119.623718,,2,
2014,2014-05-30,38.29622,-122.283138,,2,
2014,2014-04-16,38.476549,-122.38888,,2,
2014,2014-09-09,34.438204,-119.254609,,6,
2014,2014-12-03,36.619821,-121.93286,,3,
2014,2014-04-04,33.721415,-116.32681,,3,
2014,2014-07-30,33.84579,-116.544432,,3,
2014,2014-11-03,33.795196,-116.500799,,10,
2014,2014-07-11,33.801116,-116.540061,,2,
2014,2014-12-05,35.65105,-120.741489,,2,
2014,2014-08-28,35.146613,-120.645444,,1,
2014,2014-03-17,35.165863,-120.69005,,2,
2014,2014-09-19,33.766815,-116.45826,,2,
2014,2014-08-07,33.019087,-117.205773,,2,
2014,2014-12-22,33.994759,-117.891493,,2,
2014,2014-11-20,38.468316,-122.404902,,3,
2014,2014-04-04,37.78671,-122.402827,,1,
2014,2014-12-10,37.792496,-122.410035,,3,
2014,2014-12-16,34.439156,-119.704221,,4,
2014,2014-12-29,34.854043,-120.370813,,2,
2014,2014-10-14,34.01765,-118.501217,,4,
2014,2014-08-05,34.018311,-118.501067,,1,
2014,2014-10-03,34.03032,-118.48186,,2,
2014,2014-09-18,38.436068,-122.71986,,2,
2014,2014-10-14,38.393545,-122.693014,,2,
2014,2014-05-27,34.612955,-120.07901,,1,
2014,2014-08-28,40.513221,-121.81233,,2,
2014,2014-02-14,38.955286,-119.943303,,1,
2014,2014-10-15,38.959901,-119.944524,,3,
2014,2014-10-15,39.240883,-120.05654,,2,
2014,2014-03-25,39.324349,-120.169376,,1,
2014,2014-10-15,39.26742,-120.127504,,4,
2014,2014-10-30,34.092174,-118.377519,,11,
2014,2014-12-19,34.096316,-118.372756,,2,
2014,2014-08-20,34.151844,-118.804643,,5,
2014,2014-12-17,34.155011,-118.825061,,3,
2014,2014-10-29,38.402469,-122.361104,,3,
2014,2014-09-01,34.24699,-119.20425,,1,1
2014,2014-11-18,37.805388,-122.423418,,2,
2014,2014-01-01,34.425613,-119.703719,,2,
2014,2011-10-05,37.7952,-122.3961,,2,
2014,2012-02-06,37.7950272,-122.3985003,,3,
2014,2013-04-15,37.3986446,-122.1082064,,2,
2014,2014-11-04,36.5974231,-121.8583144,,1,
2014,2013-12-27,34.1541217,-118.2544909,,5,
2014,2012-02-14,34.18813,-118.62393,,1,
2014,2012-02-09,34.0497944,-118.5013378,,2,
2014,2013-04-04,33.678095,-117.987419,,4,
2014,2014-05-29,34.072883,-118.389618,,2,
2014,2002-02-20,34.378768,-119.313973,,1,
2014,2011-11-25,33.971923,-118.4278565,,2,
2014,2014-05-14,36.567526,-121.730886,,1,
2014,2014-02-03,34.416592,-119.641575,,4,
2014,2014-09-18,35.239013,-120.648789,,2,
2014,2014-02-10,36.600828,-121.945172,,1,
2014,2012-11-30,37.001203,-121.554056,,,12
2014,2012-11-30,33.689788,-117.769036,,,8
2014,2013-12-12,36.5324553,-121.8511036,,2,
2014,2014-10-03,39.156534,-122.149054,,2,
2014,2014-11-10,37.335081,-121.8946745,,4,
2014,2012-02-06,37.7951389,-122.3973611,,2,
2014,2014-03-11,37.66779052951845,-122.3831347543609,,7,
2014,2011-12-30,37.7011118,-122.469811,,15,
2014,2012-02-06,37.7944167,-122.3996389,,2,
2014,2014-04-14,37.7948167,-122.397348,,4,
2014,2014-09-10,37.3865906,-121.9833958,,2,
2014,2013-12-19,33.6248989,-117.9346573,,4,
2014,2014-12-10,33.8168093,-118.142166,,3,
2014,2012-01-12,37.8028027,-122.272921,,9,
2014,2014-08-01,33.992391,-118.3907684,,3,
2014,2013-12-20,33.62951,-117.928144,,2,
2014,2013-11-01,34.216111,-119.057778,,,2
2014,2013-12-09,33.124966,-117.319507,,,2
2014,2013-12-16,37.840178,-122.293828,,,2
2014,2014-01-13,32.607978,-117.080893,,,2
2014,2013-08-01,37.699951,-122.483575,,1,2
2014,2014-03-10,33.14311,-117.09495,,,2
2014,2014-04-29,37.32416,-122.04032,,2,2
2014,2014-09-29,33.886267,-117.520945,,,2
2014,2013-04-01,33.73086,-116.38221,,,1
2014,2013-03-05,34.60594,-120.10132,,,1
2014,2014-08-20,38.688576,-122.946783,,2,
2014,2014-03-13,34.43434,-119.920515,,21,
2014,2011-11-22,37.9256465,-122.0582599,,9,
2014,2012-02-03,33.8045502,-117.8823462,,6,
2014,2014-11-03,37.7593746,-122.3917718,,5,
2014,2013-04-01,37.9126409,-122.0420575,,4,
2014,2014-04-24,32.7913395,-117.0951878,,1,
2014,2012-01-12,33.62694081,-117.1405473,,12,
2014,2012-02-24,34.17140488974439,-118.590068529073,,12,
2014,2011-11-26,34.0383466,-118.3759001,,6,
2014,2012-02-29,37.3288623,-121.8935976,,4,
2014,2012-06-05,32.796397606,-116.975765453,,,1
2014,2012-02-09,37.4453669388609,-122.1618552423302,,13,
2014,2012-03-28,37.8393639,-122.2989698,,8,
