outcome,scheme,beta,se,p,ci95,N
Gasoline per-capita (log),Unweighted,-0.0480456027492096,0.04098365485112409,0.24142325727232472,0.08032796350820322,870
Gasoline per-capita (log),Inverse-distance (1/d),-0.08946625946774905,0.05444961731848945,0.100757303373749,0.10672124994423932,870
Gasoline per-capita (log),Exponential (h=50),-0.06383567651767566,0.05595391096713177,0.2542710126034997,0.10966966549557827,870
Median AQI,Unweighted,0.981256263690652,1.4865525806429027,0.5093939247284363,2.913643058060089,844
Median AQI,Inverse-distance (1/d),-0.08325379048932458,1.330280285192038,0.9501142519107113,2.607349358976394,844
Median AQI,Exponential (h=50),0.7223423519736688,1.4794729306258136,0.6255163509871191,2.8997669440265947,844
