county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Merced County, California",43945.0,253606.0,82235.0,137974.0,8925.0,74079.0,40924.0,91197.0,80840.0,74079.0,5427.0,5618.0,4975.0,4959.0,5265.0,4476.0,3576.0,3407.0,3465.0,6259.0,7412.0,7794.0,5120.0,2323.0,1977.0,2026.0,06,047,0.9459630934542853,2011
"Mariposa County, California",49174.0,18290.0,15209.0,1727.0,180.0,7607.0,5394.0,7115.0,5073.0,7607.0,616.0,507.0,456.0,535.0,368.0,303.0,377.0,334.0,361.0,474.0,714.0,1172.0,694.0,326.0,205.0,165.0,06,043,0.9513605889312475,2011
"Yuba County, California",46617.0,71817.0,42295.0,17687.0,1849.0,23885.0,14166.0,25762.0,23046.0,23885.0,1248.0,1548.0,1570.0,1477.0,1807.0,1282.0,1296.0,1426.0,935.0,2242.0,2634.0,2882.0,1667.0,745.0,691.0,435.0,06,115,0.952857441909148,2011
"Contra Costa County, California",79135.0,1037817.0,503705.0,248089.0,92044.0,370925.0,253163.0,470341.0,386461.0,370925.0,14639.0,14083.0,12576.0,11956.0,13405.0,13314.0,12938.0,13021.0,12230.0,25111.0,34103.0,47280.0,40210.0,28718.0,36131.0,41210.0,06,013,0.7914915414167284,2011
"Lassen County, California",52484.0,35001.0,23314.0,6075.0,2997.0,10097.0,6580.0,10149.0,8669.0,10097.0,605.0,710.0,597.0,579.0,312.0,412.0,643.0,416.0,538.0,678.0,1330.0,1580.0,724.0,528.0,214.0,231.0,06,035,0.9559275032187778,2011
"Stanislaus County, California",50671.0,512469.0,242716.0,211811.0,13329.0,164933.0,100226.0,199567.0,181473.0,164933.0,9773.0,10422.0,10227.0,9440.0,9344.0,8379.0,8596.0,7718.0,7458.0,13643.0,17428.0,21003.0,12443.0,8221.0,6399.0,4439.0,06,099,0.9342884686509068,2011
"Sonoma County, California",64343.0,478551.0,320066.0,116222.0,6808.0,184170.0,113303.0,226280.0,193837.0,184170.0,7866.0,7747.0,8196.0,8798.0,7563.0,8004.0,7915.0,8840.0,7255.0,13912.0,19722.0,25234.0,17727.0,12074.0,11930.0,11387.0,06,097,0.8733941467122767,2011
"Tehama County, California",38753.0,62985.0,45591.0,13491.0,418.0,23810.0,15336.0,22329.0,19542.0,23810.0,1561.0,2181.0,1895.0,1764.0,1608.0,1747.0,1545.0,1285.0,1137.0,2085.0,2076.0,2071.0,1319.0,607.0,537.0,392.0,06,103,0.9609827803443931,2011
"Mono County, California",60469.0,14016.0,9623.0,3613.0,121.0,5416.0,3096.0,7952.0,6005.0,5416.0,249.0,296.0,163.0,320.0,274.0,319.0,271.0,314.0,176.0,311.0,640.0,1075.0,345.0,376.0,177.0,110.0,06,051,0.9470088626292467,2011
"San Benito County, California",65570.0,54873.0,21175.0,30497.0,490.0,16785.0,10701.0,24268.0,22094.0,16785.0,711.0,795.0,633.0,761.0,493.0,896.0,602.0,668.0,522.0,1456.0,1794.0,2409.0,1852.0,1060.0,1288.0,845.0,06,069,0.8729222520107238,2011
