county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"San Diego County, California",62962.0,3138265.0,1505595.0,1015362.0,150348.0,1076483.0,579661.0,1436094.0,1233486.0,1076483.0,63844.0,47078.0,44322.0,48710.0,46670.0,49025.0,45458.0,45903.0,43617.0,82474.0,102376.0,140654.0,100436.0,67386.0,76123.0,72407.0,06,073,0.8620229023588853,2013
"Tulare County, California",42708.0,446644.0,142669.0,273533.0,5765.0,131642.0,75688.0,163808.0,149632.0,131642.0,10234.0,9174.0,9281.0,8833.0,8297.0,8811.0,7412.0,6721.0,6171.0,10715.0,12102.0,13227.0,7859.0,5194.0,4512.0,3099.0,06,107,0.9421841053767035,2013
"Yolo County, California",55918.0,202288.0,99870.0,62047.0,4534.0,70347.0,37232.0,87386.0,69266.0,70347.0,4751.0,4199.0,4041.0,3660.0,3620.0,2783.0,2939.0,2800.0,3358.0,4875.0,6222.0,8293.0,6116.0,4064.0,4904.0,3722.0,06,113,0.8773792770125236,2013
"Humboldt County, California",41426.0,134613.0,103483.0,13584.0,1552.0,53296.0,29777.0,57743.0,47964.0,53296.0,4294.0,4473.0,3779.0,3569.0,3135.0,3662.0,2857.0,2733.0,2421.0,4449.0,5185.0,5631.0,3358.0,1405.0,1303.0,1042.0,06,023,0.9560004503152206,2013
"Nevada County, California",57353.0,98509.0,84987.0,8598.0,329.0,40991.0,29768.0,40722.0,34099.0,40991.0,1843.0,2204.0,2065.0,2200.0,2157.0,2238.0,1680.0,2013.0,1716.0,3256.0,4053.0,5369.0,3905.0,2141.0,2227.0,1924.0,06,057,0.8987338684101388,2013
"Alpine County, California",58636.0,1165.0,823.0,87.0,7.0,394.0,321.0,454.0,310.0,394.0,22.0,18.0,22.0,57.0,10.0,5.0,7.0,15.0,9.0,44.0,37.0,52.0,32.0,34.0,22.0,8.0,06,003,0.9238578680203046,2013
"Madera County, California",45625.0,151435.0,56775.0,82456.0,4641.0,42516.0,25838.0,41685.0,37409.0,42516.0,2925.0,2437.0,2692.0,2992.0,2661.0,2914.0,1988.0,2466.0,1651.0,3930.0,4782.0,4039.0,3102.0,1670.0,1345.0,922.0,06,039,0.9466788973562894,2013
"Mendocino County, California",43469.0,87497.0,59274.0,19856.0,591.0,33878.0,19727.0,36046.0,30206.0,33878.0,2355.0,3096.0,2429.0,2427.0,2136.0,1901.0,1424.0,1756.0,1420.0,3160.0,3426.0,3306.0,2191.0,1337.0,801.0,713.0,06,045,0.9553102308282662,2013
"Santa Cruz County, California",66519.0,264808.0,156844.0,85703.0,2488.0,93504.0,55007.0,124909.0,101245.0,93504.0,5856.0,4427.0,3816.0,4104.0,3271.0,3858.0,4072.0,3786.0,2917.0,6367.0,9029.0,12053.0,8973.0,6032.0,7269.0,7674.0,06,087,0.8401886550308009,2013
"Trinity County, California",36890.0,13638.0,11337.0,957.0,127.0,5668.0,4035.0,4409.0,3711.0,5668.0,395.0,484.0,633.0,388.0,309.0,498.0,272.0,281.0,296.0,336.0,510.0,576.0,342.0,130.0,136.0,82.0,06,105,0.9615384615384616,2013
"Los Angeles County, California",55909.0,9893481.0,2721187.0,4741492.0,803913.0,3230383.0,1515098.0,4378758.0,3633371.0,3230383.0,209050.0,190300.0,173380.0,167740.0,154347.0,155834.0,143103.0,140946.0,126807.0,241482.0,303887.0,384881.0,268689.0,169129.0,189195.0,211613.0,06,037,0.8759255481470773,2013
"Riverside County, California",56529.0,2228528.0,867859.0,1025543.0,131246.0,683144.0,454455.0,857119.0,774614.0,683144.0,35831.0,35227.0,34822.0,36683.0,34171.0,35746.0,31881.0,32025.0,29048.0,53271.0,70849.0,89035.0,60597.0,38507.0,38105.0,27346.0,06,065,0.90419150281639,2013
"San Bernardino County, California",54090.0,2056915.0,667933.0,1026596.0,170307.0,603879.0,373813.0,788495.0,717222.0,603879.0,39908.0,31994.0,31577.0,31664.0,30948.0,29134.0,28947.0,28636.0,26982.0,51043.0,62807.0,78116.0,52784.0,29950.0,29847.0,19542.0,06,071,0.9182137481184145,2013
"Santa Clara County, California",91702.0,1812208.0,628410.0,485593.0,43760.0,609377.0,350367.0,844255.0,733280.0,609377.0,23716.0,19238.0,18252.0,19423.0,19389.0,17766.0,16360.0,19541.0,17216.0,34898.0,48185.0,73513.0,65080.0,49989.0,68757.0,98054.0,06,085,0.7262597702243438,2013
"Marin County, California",90839.0,254643.0,185230.0,39540.0,6682.0,102912.0,64596.0,121269.0,90942.0,102912.0,3283.0,3944.0,3362.0,3399.0,3065.0,3701.0,3359.0,3426.0,2818.0,5869.0,7434.0,11573.0,10243.0,7633.0,10648.0,19155.0,06,041,0.7104030628109452,2013
"Placer County, California",72725.0,355924.0,268514.0,46425.0,4147.0,132709.0,93656.0,155572.0,136014.0,132709.0,5138.0,4469.0,5335.0,5224.0,5036.0,5615.0,5332.0,5244.0,4419.0,9470.0,13120.0,17822.0,15105.0,10264.0,11604.0,9512.0,06,061,0.8408849437491052,2013
"Siskiyou County, California",37709.0,44503.0,35153.0,4799.0,564.0,19417.0,12180.0,15885.0,13230.0,19417.0,1578.0,1957.0,1696.0,1796.0,1093.0,1038.0,950.0,1211.0,761.0,1671.0,1653.0,2107.0,821.0,425.0,352.0,308.0,06,093,0.966009167224597,2013
"Shasta County, California",44651.0,177966.0,145932.0,15419.0,1636.0,68980.0,44252.0,65892.0,58870.0,68980.0,4394.0,5659.0,4376.0,4817.0,3904.0,4452.0,3566.0,3550.0,3369.0,5911.0,6753.0,7762.0,4512.0,1899.0,2345.0,1711.0,06,089,0.9412003479269353,2013
"Solano County, California",67177.0,417258.0,168938.0,102082.0,57321.0,141464.0,87267.0,182643.0,164301.0,141464.0,6902.0,5911.0,5467.0,5527.0,5402.0,6295.0,5327.0,5862.0,4895.0,11458.0,14946.0,20970.0,14807.0,9298.0,10675.0,7722.0,06,095,0.86995277950574,2013
"Del Norte County, California",37909.0,28357.0,18205.0,5217.0,889.0,9593.0,5774.0,8598.0,7463.0,9593.0,892.0,1085.0,619.0,629.0,530.0,741.0,446.0,294.0,297.0,846.0,994.0,872.0,698.0,267.0,211.0,172.0,06,015,0.9600750547274054,2013
"Glenn County, California",43023.0,28054.0,15447.0,10726.0,196.0,9628.0,6074.0,10403.0,9094.0,9628.0,573.0,849.0,821.0,611.0,613.0,675.0,510.0,317.0,612.0,666.0,817.0,1108.0,578.0,354.0,181.0,343.0,06,021,0.9455754050685501,2013
"Butte County, California",43752.0,220542.0,164932.0,32084.0,2795.0,84816.0,51005.0,84086.0,71711.0,84816.0,6733.0,6029.0,5813.0,6136.0,5320.0,5053.0,4285.0,4112.0,3362.0,7313.0,8153.0,9167.0,5560.0,3031.0,2864.0,1885.0,06,007,0.9440082059988681,2013
"Plumas County, California",45794.0,19586.0,16628.0,1591.0,238.0,8997.0,6275.0,7297.0,6358.0,8997.0,677.0,740.0,531.0,493.0,500.0,638.0,426.0,422.0,409.0,942.0,788.0,1090.0,556.0,190.0,265.0,330.0,06,063,0.9338668445037235,2013
"San Luis Obispo County, California",58697.0,272094.0,191906.0,57503.0,5558.0,102154.0,59648.0,121124.0,102634.0,102154.0,6564.0,5327.0,4180.0,4657.0,4760.0,5218.0,4360.0,4768.0,4294.0,7927.0,9617.0,13668.0,9615.0,6154.0,6057.0,4988.0,06,079,0.8918789278931809,2013
"Kern County, California",48552.0,848204.0,321424.0,422395.0,45164.0,255271.0,148163.0,309086.0,284151.0,255271.0,17527.0,17896.0,16348.0,15393.0,15344.0,13688.0,12827.0,11797.0,9697.0,19964.0,25715.0,29743.0,19647.0,11208.0,10898.0,7579.0,06,029,0.9276180999800212,2013
"Ventura County, California",76544.0,829017.0,398921.0,337773.0,13336.0,267076.0,173340.0,382237.0,341636.0,267076.0,9273.0,9720.0,9656.0,10595.0,8287.0,10192.0,9409.0,10178.0,9868.0,18043.0,25488.0,36841.0,29122.0,20938.0,24303.0,25163.0,06,111,0.8147868022585332,2013
"Calaveras County, California",55295.0,45147.0,37570.0,4794.0,378.0,18702.0,14666.0,16966.0,15337.0,18702.0,1032.0,940.0,1180.0,840.0,1095.0,756.0,843.0,946.0,794.0,1534.0,2020.0,2550.0,1756.0,963.0,723.0,730.0,06,009,0.9223077745695647,2013
"San Mateo County, California",88202.0,729543.0,305350.0,184742.0,18486.0,257941.0,153318.0,362286.0,294333.0,257941.0,8027.0,6783.0,6871.0,7525.0,8155.0,8258.0,7143.0,9024.0,7730.0,16693.0,23290.0,33152.0,25949.0,20948.0,26459.0,41934.0,06,081,0.7348502176854397,2013
"Tuolumne County, California",48426.0,54728.0,44507.0,5982.0,1122.0,22025.0,15401.0,18325.0,16035.0,22025.0,1255.0,1502.0,1491.0,1352.0,1340.0,1403.0,962.0,890.0,1233.0,2157.0,1974.0,2796.0,1523.0,688.0,711.0,748.0,06,109,0.9337570942111237,2013
