county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Merced County, California",42462.0,263885.0,78992.0,150222.0,8353.0,77692.0,40124.0,93126.0,83521.0,77692.0,5718.0,5840.0,5235.0,5381.0,4951.0,5048.0,4644.0,3781.0,3307.0,6645.0,7367.0,7937.0,4750.0,2819.0,2344.0,1925.0,06,047,0.9450522576327035,2015
"Mariposa County, California",47681.0,17789.0,14539.0,1803.0,192.0,7345.0,5224.0,7047.0,5477.0,7345.0,574.0,258.0,540.0,557.0,195.0,399.0,481.0,477.0,313.0,536.0,713.0,854.0,643.0,392.0,250.0,163.0,06,043,0.9437712729748128,2015
"Yuba County, California",46892.0,73437.0,41676.0,19611.0,2377.0,25139.0,14593.0,26113.0,23572.0,25139.0,1423.0,1765.0,1807.0,1750.0,1541.0,1365.0,1205.0,1102.0,1486.0,2127.0,2727.0,3187.0,1679.0,837.0,677.0,461.0,06,115,0.9547316917936274,2015
"Contra Costa County, California",80185.0,1096068.0,503815.0,273350.0,94046.0,384646.0,248668.0,495757.0,399524.0,384646.0,15461.0,14085.0,13400.0,13968.0,12372.0,13472.0,12764.0,12906.0,12682.0,24685.0,35275.0,47311.0,40366.0,30172.0,37915.0,47812.0,06,013,0.7771275406477645,2015
"Lassen County, California",51555.0,32645.0,21526.0,5986.0,2758.0,9707.0,6315.0,8796.0,7746.0,9707.0,798.0,607.0,371.0,474.0,578.0,445.0,415.0,503.0,489.0,796.0,1285.0,1155.0,709.0,454.0,462.0,166.0,06,035,0.9353044194910889,2015
"Stanislaus County, California",50125.0,527367.0,235880.0,230087.0,12904.0,169196.0,95954.0,202400.0,185311.0,169196.0,10547.0,11339.0,9729.0,9031.0,9746.0,9597.0,8441.0,8689.0,7245.0,14461.0,17514.0,20182.0,13173.0,7630.0,6606.0,5266.0,06,099,0.9298328565687132,2015
"Sonoma County, California",64240.0,495078.0,320545.0,127774.0,6762.0,187782.0,111590.0,235017.0,202347.0,187782.0,7825.0,7943.0,7966.0,8733.0,7837.0,7688.0,8448.0,7637.0,7989.0,15473.0,18807.0,25119.0,18030.0,11888.0,13505.0,12894.0,06,097,0.8594167705104856,2015
"Tehama County, California",41001.0,63152.0,44291.0,14813.0,291.0,23704.0,16008.0,22782.0,20239.0,23704.0,1554.0,1849.0,1716.0,1732.0,1588.0,1767.0,1451.0,1065.0,1126.0,1926.0,2219.0,2512.0,1391.0,704.0,513.0,591.0,06,103,0.9534255821802228,2015
"Mono County, California",56944.0,14146.0,9405.0,3862.0,59.0,4906.0,2919.0,6989.0,3788.0,4906.0,71.0,220.0,160.0,152.0,205.0,356.0,397.0,116.0,332.0,492.0,572.0,820.0,445.0,284.0,120.0,164.0,06,051,0.9421116999592336,2015
"San Benito County, California",71077.0,57557.0,21092.0,33307.0,406.0,17198.0,10778.0,25301.0,23450.0,17198.0,527.0,633.0,665.0,754.0,546.0,669.0,797.0,635.0,587.0,1274.0,1995.0,2528.0,1927.0,1084.0,1479.0,1098.0,06,069,0.8501569949994185,2015
"Sacramento County, California",55987.0,1465832.0,686399.0,326742.0,140253.0,522596.0,289606.0,616766.0,539526.0,522596.0,33699.0,30490.0,25708.0,25987.0,25440.0,25732.0,23427.0,23344.0,21528.0,40570.0,53201.0,66106.0,46235.0,27435.0,31021.0,22673.0,06,067,0.8972552411422973,2015
"El Dorado County, California",69584.0,182093.0,143804.0,22719.0,1564.0,67086.0,49861.0,77075.0,66212.0,67086.0,2926.0,2897.0,2599.0,2917.0,2756.0,3185.0,2874.0,2228.0,2189.0,4675.0,6574.0,8311.0,6685.0,4580.0,5486.0,6204.0,06,017,0.8257460572995856,2015
"Monterey County, California",58783.0,428441.0,135021.0,243894.0,10981.0,125402.0,61747.0,179034.0,147427.0,125402.0,6075.0,5379.0,5131.0,6443.0,5913.0,6273.0,6237.0,5655.0,6054.0,10707.0,13152.0,16179.0,10776.0,7057.0,7414.0,6957.0,06,053,0.8854005518253297,2015
"Sierra County, California",42833.0,3021.0,2658.0,268.0,3.0,1252.0,981.0,1062.0,848.0,1252.0,71.0,82.0,151.0,45.0,68.0,60.0,85.0,90.0,39.0,86.0,73.0,128.0,145.0,34.0,41.0,54.0,06,091,0.9241214057507987,2015
"San Diego County, California",64309.0,3223096.0,1515316.0,1060995.0,153024.0,1094157.0,579079.0,1504548.0,1284012.0,1094157.0,66035.0,46226.0,44270.0,48188.0,45470.0,48605.0,44188.0,45741.0,42554.0,82806.0,103886.0,141431.0,103409.0,70131.0,79791.0,81426.0,06,073,0.8526564286478083,2015
