county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Alameda County, California",112017.0,1673133.0,499730.0,374542.0,166017.0,581683.0,313410.0,817140.0,532036.0,581683.0,23093.0,17324.0,12730.0,14392.0,14465.0,13817.0,12488.0,14936.0,11161.0,28272.0,38199.0,61409.0,54942.0,46844.0,73965.0,143646.0,06,001,0.6258941725991648,2021
"Alpine County, California",96000.0,1344.0,730.0,197.0,8.0,434.0,355.0,514.0,340.0,434.0,5.0,4.0,18.0,12.0,19.0,33.0,6.0,8.0,9.0,48.0,28.0,39.0,37.0,71.0,58.0,39.0,06,003,0.7764976958525346,2021
"Amador County, California",69955.0,40095.0,30081.0,5966.0,930.0,15394.0,12075.0,14830.0,12624.0,15394.0,769.0,672.0,462.0,633.0,583.0,553.0,759.0,567.0,610.0,1207.0,1316.0,2163.0,1685.0,1283.0,1042.0,1090.0,06,005,0.8615044822658179,2021
"Butte County, California",59863.0,217884.0,153153.0,37982.0,3897.0,85292.0,49549.0,93043.0,78111.0,85292.0,5122.0,5042.0,3658.0,4485.0,4607.0,3871.0,3896.0,3377.0,2702.0,5953.0,7778.0,10302.0,7438.0,4894.0,5806.0,6361.0,06,007,0.8573488721099283,2021
"Calaveras County, California",70119.0,45349.0,35925.0,5928.0,439.0,16809.0,13698.0,16387.0,13971.0,16809.0,853.0,632.0,560.0,724.0,584.0,638.0,645.0,563.0,773.0,1290.0,1587.0,2488.0,1545.0,1090.0,1467.0,1370.0,06,009,0.8312213695044322,2021
"Colusa County, California",61861.0,21780.0,7398.0,13177.0,293.0,7303.0,4497.0,9320.0,8491.0,7303.0,451.0,351.0,366.0,503.0,191.0,384.0,404.0,241.0,359.0,336.0,779.0,1018.0,570.0,493.0,363.0,494.0,06,011,0.8826509653567027,2021
"Contra Costa County, California",110455.0,1161643.0,483519.0,304321.0,96256.0,405106.0,271379.0,553536.0,407247.0,405106.0,14340.0,10199.0,7465.0,8203.0,8990.0,10194.0,9138.0,9893.0,8775.0,20620.0,28957.0,45903.0,42308.0,34654.0,51734.0,93733.0,06,013,0.6409162046476725,2021
"Del Norte County, California",53280.0,27655.0,16617.0,5663.0,799.0,9531.0,6505.0,8939.0,7964.0,9531.0,514.0,796.0,474.0,443.0,443.0,403.0,452.0,615.0,319.0,796.0,925.0,1194.0,835.0,654.0,328.0,340.0,06,015,0.9299129157486098,2021
"El Dorado County, California",88770.0,190568.0,145363.0,25362.0,1492.0,74535.0,56792.0,85493.0,69166.0,74535.0,2910.0,2208.0,2648.0,2215.0,2580.0,1996.0,1818.0,2226.0,1918.0,4399.0,6540.0,9277.0,8034.0,6014.0,7637.0,12115.0,06,017,0.7349969812839605,2021
"Fresno County, California",61276.0,1003150.0,279940.0,541344.0,42525.0,314421.0,170035.0,403192.0,358964.0,314421.0,20464.0,15104.0,14164.0,15058.0,14491.0,15160.0,12446.0,12822.0,12915.0,22159.0,30758.0,37980.0,28479.0,19216.0,22197.0,21008.0,06,019,0.8625886947754762,2021
"Glenn County, California",56332.0,28675.0,14365.0,12295.0,117.0,9753.0,5936.0,11856.0,10478.0,9753.0,605.0,581.0,411.0,501.0,544.0,252.0,527.0,510.0,422.0,721.0,1135.0,1172.0,973.0,656.0,424.0,319.0,06,021,0.9238183123141598,2021
"Humboldt County, California",53350.0,137014.0,98786.0,16877.0,1488.0,53729.0,30931.0,57701.0,45848.0,53729.0,3556.0,3861.0,2547.0,2673.0,3631.0,2759.0,2273.0,2389.0,1796.0,3688.0,5307.0,6376.0,3931.0,3052.0,2896.0,2994.0,06,023,0.8903757747212865,2021
"Imperial County, California",49078.0,180051.0,17510.0,153218.0,4447.0,45541.0,26392.0,57287.0,50454.0,45541.0,3371.0,3284.0,3025.0,2981.0,2229.0,1869.0,2295.0,2066.0,1971.0,3211.0,3399.0,5508.0,4374.0,2656.0,1654.0,1648.0,06,025,0.9274939065896665,2021
"Inyo County, California",60925.0,18804.0,11253.0,4452.0,72.0,7832.0,5043.0,8159.0,6628.0,7832.0,383.0,360.0,394.0,328.0,362.0,414.0,405.0,295.0,348.0,590.0,972.0,1003.0,656.0,424.0,550.0,348.0,06,027,0.8853421859039836,2021
"Kern County, California",58824.0,905644.0,291410.0,495742.0,45929.0,274705.0,162816.0,346503.0,317712.0,274705.0,16223.0,15188.0,11992.0,12839.0,13698.0,14436.0,11621.0,12404.0,10473.0,20622.0,25915.0,35379.0,23682.0,16062.0,18294.0,15877.0,06,029,0.8756083798984365,2021
"Kings County, California",63267.0,151887.0,46860.0,84369.0,9188.0,43286.0,23610.0,55733.0,51072.0,43286.0,2292.0,1257.0,1754.0,1860.0,1917.0,1905.0,2161.0,1973.0,1595.0,3757.0,4662.0,6554.0,4329.0,2329.0,3120.0,1821.0,06,031,0.8858522385990851,2021
"Lake County, California",53399.0,67749.0,45945.0,15050.0,1530.0,26307.0,18174.0,24536.0,19899.0,26307.0,1572.0,1641.0,1481.0,1159.0,1289.0,1397.0,1324.0,1149.0,992.0,2522.0,2130.0,3066.0,2207.0,1433.0,1373.0,1572.0,06,033,0.8880526095715969,2021
"Lassen County, California",59292.0,32949.0,21139.0,6494.0,2748.0,8910.0,6236.0,8513.0,7768.0,8910.0,452.0,326.0,377.0,384.0,301.0,594.0,453.0,379.0,420.0,831.0,943.0,1287.0,943.0,504.0,437.0,279.0,06,035,0.9196408529741863,2021
"Los Angeles County, California",76367.0,10019635.0,2550832.0,4878619.0,766190.0,3342811.0,1545929.0,4753898.0,3769492.0,3342811.0,180980.0,142812.0,112340.0,121032.0,119357.0,122002.0,115562.0,116264.0,102875.0,216948.0,296740.0,414844.0,325230.0,237643.0,299389.0,418793.0,06,037,0.7851562651911819,2021
"Madera County, California",66709.0,156304.0,50655.0,92400.0,4395.0,43578.0,28842.0,56553.0,49129.0,43578.0,2347.0,1559.0,1764.0,1642.0,1945.0,1944.0,2238.0,1634.0,1632.0,3234.0,4813.0,6307.0,4189.0,3001.0,2799.0,2530.0,06,039,0.8777135251732525,2021
"Marin County, California",131008.0,262387.0,182830.0,43043.0,5508.0,103751.0,66143.0,127959.0,85150.0,103751.0,3221.0,2265.0,1918.0,2414.0,2140.0,2107.0,2109.0,2469.0,1906.0,4385.0,6482.0,9752.0,8750.0,8026.0,12472.0,33335.0,06,041,0.5584910024963615,2021
"Mariposa County, California",53304.0,17225.0,13415.0,2137.0,142.0,7588.0,5429.0,6827.0,4940.0,7588.0,413.0,392.0,321.0,471.0,582.0,465.0,378.0,245.0,340.0,683.0,685.0,874.0,485.0,429.0,556.0,269.0,06,043,0.8912756984712704,2021
"Mendocino County, California",56378.0,91534.0,58074.0,24068.0,554.0,34183.0,20603.0,37623.0,31080.0,34183.0,1789.0,2255.0,1561.0,1731.0,1802.0,1524.0,1598.0,1470.0,1507.0,2897.0,3173.0,3645.0,3425.0,1882.0,2085.0,1839.0,06,045,0.885206096597724,2021
"Merced County, California",58861.0,279150.0,72416.0,170730.0,7405.0,81618.0,42146.0,103796.0,91428.0,81618.0,4746.0,4007.0,3338.0,3908.0,3736.0,3928.0,3382.0,4071.0,3743.0,6708.0,9003.0,10665.0,7305.0,4661.0,4253.0,4164.0,06,047,0.8968732387463549,2021
"Modoc County, California",51090.0,8723.0,6686.0,1322.0,172.0,3413.0,2543.0,2978.0,2364.0,3413.0,188.0,91.0,312.0,108.0,221.0,323.0,152.0,134.0,113.0,432.0,315.0,485.0,226.0,154.0,75.0,84.0,06,049,0.9534134192792265,2021
"Mono County, California",71138.0,13291.0,8518.0,3628.0,3.0,5361.0,3525.0,7238.0,5076.0,5361.0,171.0,52.0,30.0,345.0,220.0,90.0,198.0,128.0,227.0,811.0,519.0,1154.0,668.0,170.0,228.0,350.0,06,051,0.8921842939750046,2021
"Monterey County, California",82013.0,438953.0,126356.0,261961.0,10124.0,129977.0,67182.0,191033.0,154938.0,129977.0,3795.0,3279.0,3388.0,4648.0,4459.0,4821.0,4496.0,4612.0,4128.0,9119.0,12229.0,19608.0,14004.0,9919.0,11805.0,15667.0,06,053,0.7886395285319711,2021
"Napa County, California",97498.0,138795.0,70719.0,48198.0,2750.0,48745.0,31942.0,68679.0,57721.0,48745.0,1701.0,1230.0,994.0,984.0,1642.0,1503.0,1140.0,1543.0,1623.0,2735.0,3600.0,6182.0,5302.0,3861.0,5960.0,8745.0,06,055,0.6983280336444764,2021
"Nevada County, California",74617.0,102090.0,85552.0,9992.0,381.0,40877.0,30805.0,45924.0,35297.0,40877.0,1836.0,1545.0,1464.0,1485.0,1889.0,1598.0,1372.0,1652.0,1490.0,2653.0,3537.0,5187.0,3942.0,2836.0,3338.0,5053.0,06,057,0.7947256403356411,2021
"Orange County, California",100485.0,3182923.0,1242725.0,1083093.0,50161.0,1057592.0,602440.0,1562454.0,1291599.0,1057592.0,44735.0,27205.0,22906.0,25553.0,28249.0,28638.0,27112.0,28160.0,26061.0,56606.0,82900.0,128247.0,112610.0,91636.0,127014.0,199960.0,06,059,0.6908316250501139,2021
"Placer County, California",99734.0,400330.0,281400.0,58635.0,6197.0,149714.0,109856.0,183134.0,147580.0,149714.0,5501.0,3586.0,3343.0,3927.0,4274.0,4106.0,4338.0,3579.0,3421.0,8121.0,12093.0,18808.0,16665.0,12433.0,18747.0,26772.0,06,061,0.6959602976341558,2021
