county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Lake County, California",35997.0,64209.0,46876.0,11601.0,1430.0,26771.0,16795.0,21354.0,17919.0,26771.0,2485.0,2511.0,2537.0,2119.0,1818.0,1637.0,1250.0,1216.0,1233.0,1944.0,2235.0,2488.0,1665.0,681.0,535.0,417.0,06,033,0.9644391318964551,2014
"Modoc County, California",38560.0,9335.0,7301.0,1345.0,108.0,3893.0,2820.0,3317.0,2641.0,3893.0,415.0,251.0,225.0,406.0,327.0,198.0,238.0,186.0,205.0,196.0,377.0,347.0,334.0,141.0,10.0,37.0,06,049,0.9879270485486771,2014
"Inyo County, California",45625.0,18439.0,11951.0,3730.0,192.0,7891.0,5007.0,8119.0,6598.0,7891.0,364.0,818.0,483.0,409.0,610.0,403.0,408.0,395.0,356.0,409.0,889.0,992.0,609.0,261.0,285.0,200.0,06,027,0.9385375744519072,2014
"Santa Barbara County, California",63409.0,431555.0,201923.0,188743.0,6934.0,142028.0,74300.0,194766.0,157750.0,142028.0,7641.0,6693.0,6588.0,6213.0,6521.0,6431.0,6210.0,5682.0,5383.0,10346.0,14320.0,17854.0,12401.0,8692.0,10263.0,10790.0,06,083,0.8517686653335962,2014
"Imperial County, California",41772.0,177026.0,22957.0,144090.0,4802.0,46952.0,26135.0,56288.0,50972.0,46952.0,4244.0,4370.0,3387.0,3247.0,2735.0,2657.0,2098.0,2157.0,1668.0,3356.0,4036.0,5430.0,3115.0,1996.0,1501.0,955.0,06,025,0.9476912591582893,2014
"Alameda County, California",73775.0,1559308.0,519375.0,352500.0,179984.0,551734.0,291645.0,701525.0,523582.0,551734.0,29627.0,26326.0,21087.0,21756.0,20499.0,19326.0,18889.0,19735.0,17017.0,37012.0,48173.0,66296.0,56486.0,39123.0,50614.0,59768.0,06,001,0.7999362011404046,2014
"Napa County, California",70925.0,139253.0,76531.0,45937.0,2853.0,49631.0,29997.0,65991.0,58010.0,49631.0,1714.0,2105.0,1701.0,2433.0,1762.0,1965.0,1915.0,2071.0,2264.0,3602.0,4597.0,6723.0,5417.0,3307.0,3690.0,4365.0,06,055,0.8377022425500191,2014
"San Francisco County, California",78378.0,829072.0,343368.0,126524.0,45653.0,348832.0,127689.0,456670.0,199470.0,348832.0,22652.0,21338.0,13689.0,13494.0,11228.0,10987.0,10583.0,10114.0,9166.0,19378.0,26305.0,36924.0,33524.0,24087.0,32934.0,52429.0,06,075,0.7552890789835794,2014
"Colusa County, California",50503.0,21424.0,8184.0,12155.0,180.0,6912.0,4393.0,8468.0,7772.0,6912.0,318.0,421.0,292.0,364.0,542.0,464.0,248.0,411.0,361.0,681.0,751.0,910.0,486.0,207.0,273.0,183.0,06,011,0.9340277777777778,2014
"Kings County, California",47341.0,151390.0,52180.0,78911.0,9412.0,41108.0,21358.0,53699.0,48931.0,41108.0,2891.0,2489.0,2388.0,2625.0,2218.0,2539.0,2360.0,2043.0,2065.0,3113.0,4080.0,4862.0,2757.0,1827.0,1832.0,1019.0,06,031,0.9306461029483313,2014
"Fresno County, California",45201.0,948844.0,300279.0,485914.0,45398.0,292550.0,155487.0,352667.0,315626.0,292550.0,23914.0,20704.0,19853.0,18721.0,17950.0,16684.0,14115.0,13851.0,11997.0,22404.0,27784.0,31797.0,20200.0,11862.0,11817.0,8897.0,06,019,0.9291950094001026,2014
"Orange County, California",75998.0,3086331.0,1323581.0,1050771.0,47072.0,1002285.0,583146.0,1448689.0,1277739.0,1002285.0,43966.0,34301.0,35442.0,37223.0,37513.0,37418.0,36582.0,36469.0,34608.0,70171.0,91405.0,131486.0,103122.0,74465.0,91544.0,106570.0,06,059,0.8023376584504407,2014
"Sutter County, California",51527.0,95067.0,46558.0,27931.0,1744.0,31723.0,18735.0,36526.0,33322.0,31723.0,1606.0,1944.0,2017.0,1862.0,1576.0,1589.0,1664.0,1749.0,1260.0,2826.0,3283.0,3732.0,2652.0,1264.0,1702.0,997.0,06,101,0.9149197742962519,2014
