county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Merced County, California",43844.0,250699.0,82907.0,134778.0,8902.0,73586.0,41135.0,91438.0,81178.0,73586.0,5570.0,5514.0,5135.0,5393.0,4713.0,4206.0,3402.0,3587.0,3560.0,6356.0,7476.0,7966.0,4775.0,2201.0,1946.0,1786.0,06,047,0.9492838311635365,2010
"Modoc County, California",34588.0,9605.0,7610.0,1261.0,96.0,3977.0,2790.0,3489.0,2652.0,3977.0,234.0,438.0,430.0,367.0,242.0,308.0,186.0,249.0,108.0,257.0,325.0,420.0,232.0,106.0,41.0,34.0,06,049,0.9811415639929595,2010
"Mono County, California",55087.0,13905.0,9644.0,3484.0,102.0,5283.0,2978.0,8135.0,6089.0,5283.0,201.0,284.0,216.0,416.0,190.0,302.0,324.0,360.0,69.0,454.0,606.0,842.0,437.0,303.0,174.0,105.0,06,051,0.9471890971039182,2010
"Monterey County, California",59271.0,407435.0,139535.0,218868.0,12089.0,124963.0,66731.0,176845.0,149985.0,124963.0,5209.0,5670.0,6153.0,6022.0,6201.0,5839.0,5205.0,6342.0,5642.0,10874.0,13291.0,16927.0,11576.0,6890.0,6497.0,6625.0,06,053,0.8949929179036995,2010
"Napa County, California",67389.0,134051.0,78109.0,41074.0,2848.0,49179.0,31996.0,62559.0,54221.0,49179.0,1861.0,2285.0,2018.0,1942.0,1727.0,2179.0,2453.0,2083.0,1620.0,3409.0,5237.0,6429.0,5349.0,2980.0,3641.0,3966.0,06,055,0.8453201569775717,2010
"Nevada County, California",57121.0,98186.0,85681.0,7913.0,370.0,41255.0,30531.0,43615.0,37284.0,41255.0,1928.0,2285.0,1732.0,2160.0,2153.0,1886.0,1678.0,2399.0,1791.0,3571.0,4564.0,5685.0,3693.0,2121.0,2120.0,1489.0,06,057,0.9125196945824748,2010
"Orange County, California",74344.0,2965525.0,1349803.0,973899.0,45009.0,984503.0,599032.0,1411500.0,1249365.0,984503.0,38752.0,31753.0,32499.0,36825.0,37458.0,36750.0,35185.0,40269.0,35127.0,70587.0,101018.0,133853.0,106612.0,72515.0,83507.0,91793.0,06,059,0.8219406136903595,2010
"Placer County, California",74447.0,336477.0,259985.0,41206.0,4220.0,129153.0,94206.0,153221.0,134629.0,129153.0,4496.0,4486.0,4355.0,4875.0,4645.0,5109.0,5137.0,5410.0,4263.0,10263.0,11973.0,19509.0,15017.0,9739.0,10830.0,9046.0,06,061,0.8461050072394757,2010
"Plumas County, California",44000.0,20392.0,17511.0,1593.0,198.0,10090.0,6615.0,8744.0,7834.0,10090.0,847.0,799.0,564.0,385.0,692.0,536.0,610.0,736.0,522.0,865.0,1059.0,1109.0,590.0,316.0,263.0,197.0,06,063,0.9544103072348861,2010
"Riverside County, California",57768.0,2109464.0,863965.0,933529.0,124715.0,666906.0,467086.0,841821.0,760539.0,666906.0,31641.0,32917.0,31717.0,36228.0,33331.0,34033.0,30984.0,30858.0,27906.0,54134.0,71481.0,90393.0,62396.0,35550.0,35637.0,27700.0,06,065,0.9050285947344903,2010
"Sacramento County, California",56439.0,1395144.0,693823.0,289636.0,139229.0,508499.0,302429.0,607964.0,535821.0,508499.0,25150.0,27357.0,24429.0,25053.0,24766.0,27337.0,25058.0,23832.0,21649.0,42865.0,55777.0,69015.0,45212.0,26745.0,25923.0,18331.0,06,067,0.9129713136112362,2010
"San Benito County, California",65771.0,54492.0,21377.0,29835.0,493.0,16812.0,10807.0,23907.0,21321.0,16812.0,929.0,693.0,523.0,789.0,648.0,679.0,618.0,758.0,509.0,1440.0,1602.0,2604.0,1986.0,1164.0,1117.0,753.0,06,069,0.8887699262431596,2010
"San Bernardino County, California",55845.0,2005287.0,695292.0,960138.0,170492.0,596125.0,388167.0,808563.0,735358.0,596125.0,31268.0,30690.0,29259.0,29725.0,29462.0,30454.0,28793.0,28485.0,26899.0,51738.0,65200.0,82475.0,52936.0,30865.0,29140.0,18736.0,06,071,0.9196879849024953,2010
"San Diego County, California",63069.0,3022468.0,1500807.0,940777.0,145787.0,1061789.0,593945.0,1420901.0,1220376.0,1061789.0,52540.0,47066.0,44108.0,47194.0,45811.0,48881.0,47457.0,47661.0,43587.0,81927.0,106242.0,146620.0,99639.0,66216.0,70873.0,65967.0,06,073,0.8711231704227488,2010
"San Francisco County, California",71304.0,789172.0,332062.0,116075.0,47867.0,335956.0,126028.0,433674.0,199818.0,335956.0,22136.0,20072.0,14739.0,13280.0,12049.0,11211.0,10472.0,12388.0,10321.0,20717.0,27059.0,38734.0,33216.0,20937.0,29351.0,39274.0,06,075,0.7957321792139447,2010
"San Joaquin County, California",54341.0,673613.0,251081.0,253771.0,46449.0,212905.0,131357.0,262119.0,238746.0,212905.0,11106.0,12484.0,11166.0,10719.0,9841.0,12074.0,11092.0,9956.0,9984.0,17694.0,22200.0,27695.0,18717.0,10572.0,10242.0,7363.0,06,077,0.9173105375637021,2010
"San Luis Obispo County, California",57365.0,265577.0,191596.0,52751.0,5357.0,102434.0,62880.0,118410.0,101350.0,102434.0,6015.0,5626.0,4709.0,5536.0,4769.0,5038.0,4544.0,4675.0,4240.0,7897.0,11281.0,13388.0,8896.0,5273.0,5751.0,4796.0,06,079,0.8970361403440263,2010
"San Mateo County, California",85648.0,704327.0,308979.0,172151.0,19410.0,255758.0,156149.0,350536.0,286123.0,255758.0,8072.0,6815.0,7471.0,7292.0,8264.0,8342.0,7739.0,8260.0,8444.0,17236.0,23710.0,34327.0,27680.0,20678.0,26150.0,35278.0,06,081,0.759819829682747,2010
"Santa Barbara County, California",60078.0,416051.0,207440.0,170439.0,7205.0,141793.0,76757.0,189106.0,153284.0,141793.0,7181.0,6690.0,6677.0,6598.0,6150.0,6759.0,6541.0,6293.0,6538.0,11384.0,15359.0,16912.0,12527.0,8774.0,8578.0,8832.0,06,083,0.8772153773458492,2010
"Santa Clara County, California",86850.0,1739396.0,636231.0,456367.0,41704.0,596747.0,353399.0,820822.0,714507.0,596747.0,24105.0,18169.0,18604.0,19658.0,18134.0,17771.0,18500.0,20167.0,16603.0,35064.0,51876.0,76591.0,66345.0,49596.0,65115.0,80449.0,06,085,0.7560708306870416,2010
"Santa Cruz County, California",65253.0,256901.0,156672.0,79100.0,2380.0,93802.0,55878.0,121706.0,100340.0,93802.0,5025.0,4813.0,3774.0,4385.0,3498.0,4280.0,3511.0,3817.0,3529.0,7074.0,8665.0,12562.0,9086.0,5921.0,6533.0,7329.0,06,087,0.8522206349544785,2010
"Shasta County, California",43944.0,176906.0,146929.0,14162.0,1451.0,69100.0,45574.0,68231.0,61228.0,69100.0,5235.0,5828.0,3675.0,4786.0,3736.0,4249.0,3932.0,3991.0,2718.0,5796.0,7467.0,7825.0,3673.0,2202.0,2270.0,1717.0,06,089,0.942301013024602,2010
"Sierra County, California",52950.0,3366.0,3042.0,264.0,37.0,1437.0,1151.0,1566.0,1203.0,1437.0,115.0,125.0,45.0,19.0,118.0,53.0,92.0,58.0,86.0,79.0,204.0,252.0,94.0,55.0,27.0,15.0,06,091,0.9707724425887265,2010
"Siskiyou County, California",36981.0,44690.0,35854.0,4454.0,575.0,20097.0,13098.0,16646.0,14121.0,20097.0,1651.0,2286.0,1753.0,1369.0,1166.0,1348.0,1223.0,1053.0,1012.0,1585.0,1891.0,1928.0,868.0,386.0,336.0,242.0,06,093,0.9712394884808678,2010
"Solano County, California",68409.0,410042.0,171126.0,94832.0,59514.0,139011.0,91447.0,184338.0,167791.0,139011.0,5913.0,5565.0,4883.0,5148.0,5219.0,5414.0,5363.0,6147.0,5379.0,11359.0,16294.0,21085.0,14750.0,9945.0,10148.0,6399.0,06,095,0.8809662544690708,2010
"Sonoma County, California",63274.0,474047.0,320480.0,112084.0,6629.0,184033.0,114787.0,226243.0,193866.0,184033.0,8152.0,7891.0,7938.0,8679.0,7818.0,8590.0,7726.0,8847.0,7038.0,14186.0,19793.0,25851.0,18318.0,11534.0,11215.0,10457.0,06,097,0.8822385115712943,2010
"Stanislaus County, California",51094.0,509682.0,245803.0,206983.0,13230.0,163841.0,101826.0,201003.0,182752.0,163841.0,9373.0,10013.0,9954.0,9895.0,8790.0,8129.0,8281.0,7868.0,7829.0,14513.0,17206.0,20872.0,12845.0,7642.0,6116.0,4515.0,06,099,0.9351139214238194,2010
"Sutter County, California",50944.0,93420.0,48648.0,25945.0,1452.0,31373.0,19380.0,37771.0,34296.0,31373.0,1397.0,2122.0,2005.0,1486.0,1877.0,1864.0,1466.0,1536.0,1670.0,2753.0,3476.0,4032.0,2330.0,1277.0,1243.0,839.0,06,101,0.933637203965193,2010
"Tehama County, California",38137.0,62575.0,45764.0,13017.0,374.0,23510.0,15316.0,22473.0,19744.0,23510.0,1659.0,2298.0,1710.0,1683.0,1614.0,1583.0,1916.0,1148.0,1098.0,1945.0,2123.0,2077.0,1243.0,576.0,498.0,339.0,06,103,0.9643981284559762,2010
"Trinity County, California",38725.0,13701.0,11482.0,892.0,54.0,5889.0,4328.0,5067.0,3853.0,5889.0,301.0,493.0,518.0,410.0,413.0,596.0,265.0,324.0,391.0,353.0,688.0,449.0,367.0,208.0,75.0,38.0,06,105,0.9808116827984378,2010
"Tulare County, California",43851.0,429404.0,146711.0,253058.0,5362.0,126664.0,75081.0,161697.0,147050.0,126664.0,8979.0,8408.0,8579.0,9159.0,8592.0,8210.0,6522.0,6402.0,5675.0,10916.0,11861.0,14170.0,7689.0,4792.0,3976.0,2734.0,06,107,0.9470252005305375,2010
"Tuolumne County, California",47462.0,56074.0,45999.0,5740.0,1238.0,22192.0,15580.0,20285.0,18116.0,22192.0,1054.0,1493.0,1375.0,1596.0,1317.0,1244.0,1327.0,1042.0,1071.0,1750.0,2485.0,2530.0,1745.0,788.0,656.0,719.0,06,109,0.9380407354001442,2010
"Ventura County, California",75348.0,809080.0,405113.0,315604.0,13043.0,264305.0,175452.0,378652.0,341283.0,264305.0,9002.0,9452.0,9353.0,9960.0,9740.0,9669.0,9078.0,11200.0,8774.0,19162.0,26130.0,37267.0,30705.0,19782.0,22779.0,22252.0,06,111,0.8296248652125385,2010
"Yolo County, California",57077.0,196418.0,100763.0,57963.0,4408.0,69386.0,37548.0,87078.0,69790.0,69386.0,4728.0,3788.0,3737.0,3510.0,3530.0,2538.0,3100.0,3307.0,2470.0,5289.0,6854.0,8202.0,6640.0,4324.0,4077.0,3292.0,06,113,0.8937970195716716,2010
"Yuba County, California",46807.0,71160.0,42363.0,17072.0,1749.0,23750.0,14214.0,26731.0,23976.0,23750.0,1341.0,1610.0,1563.0,1501.0,1678.0,1359.0,1364.0,1133.0,1015.0,2329.0,2359.0,2872.0,1660.0,823.0,759.0,384.0,06,115,0.9518736842105263,2010
"Alameda County, California",69384.0,1477980.0,519461.0,323307.0,183122.0,532026.0,293277.0,695938.0,534955.0,532026.0,29264.0,26250.0,21446.0,21889.0,20028.0,20118.0,18705.0,20165.0,18896.0,36416.0,50513.0,66937.0,55022.0,36704.0,44972.0,44701.0,06,001,0.8314499667309493,2010
"Alpine County, California",63478.0,1176.0,746.0,63.0,0.0,410.0,301.0,503.0,346.0,410.0,17.0,11.0,24.0,6.0,20.0,39.0,6.0,19.0,31.0,23.0,64.0,41.0,44.0,18.0,31.0,16.0,06,003,0.8853658536585366,2010
"Amador County, California",54758.0,38327.0,30784.0,4566.0,705.0,14715.0,11372.0,13802.0,12481.0,14715.0,551.0,774.0,703.0,724.0,660.0,844.0,779.0,910.0,685.0,1340.0,1609.0,2251.0,1026.0,795.0,776.0,288.0,06,005,0.9276928304451241,2010
"Butte County, California",43170.0,218635.0,166463.0,29512.0,3012.0,85465.0,52321.0,87034.0,75104.0,85465.0,6075.0,6944.0,5585.0,6005.0,5919.0,4875.0,4455.0,4586.0,3482.0,6917.0,8303.0,9869.0,5515.0,2620.0,2710.0,1605.0,06,007,0.9495114959340081,2010
