county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Alameda County, California",104888.0,1661584.0,508583.0,369546.0,167316.0,573174.0,307281.0,799481.0,544105.0,573174.0,23286.0,18674.0,13589.0,15459.0,14396.0,15339.0,12749.0,14792.0,13180.0,28706.0,40080.0,64029.0,56007.0,46561.0,72187.0,124140.0,06,001,0.6574739956801948,2020
"Alpine County, California",85750.0,1159.0,595.0,183.0,10.0,397.0,321.0,398.0,247.0,397.0,6.0,5.0,13.0,14.0,18.0,30.0,9.0,5.0,12.0,45.0,29.0,41.0,52.0,61.0,28.0,29.0,06,003,0.8564231738035264,2020
"Butte County, California",54972.0,223344.0,158924.0,37585.0,3778.0,83879.0,49887.0,92703.0,78794.0,83879.0,5540.0,5272.0,4582.0,4937.0,4536.0,4093.0,3866.0,2979.0,3036.0,5815.0,7705.0,9810.0,7005.0,4313.0,5136.0,5254.0,06,007,0.876131093599113,2020
"Colusa County, California",59427.0,21491.0,7482.0,12840.0,263.0,7329.0,4651.0,9468.0,8741.0,7329.0,349.0,488.0,293.0,504.0,284.0,439.0,238.0,319.0,307.0,474.0,973.0,920.0,515.0,483.0,390.0,353.0,06,011,0.8986219129485605,2020
"Contra Costa County, California",103997.0,1147788.0,489135.0,295791.0,94463.0,398299.0,266238.0,547220.0,418231.0,398299.0,13499.0,11015.0,8097.0,9679.0,9059.0,11158.0,10098.0,9688.0,9703.0,21087.0,29776.0,48894.0,41087.0,34030.0,49614.0,81815.0,06,013,0.6700242782432293,2020
"El Dorado County, California",83710.0,190345.0,146919.0,24773.0,1439.0,73078.0,55193.0,84184.0,70630.0,73078.0,2786.0,2525.0,2768.0,2247.0,2532.0,2244.0,2090.0,2586.0,2371.0,4514.0,6390.0,9069.0,7831.0,5751.0,7089.0,10285.0,06,017,0.7622540299406114,2020
"Fresno County, California",57109.0,990204.0,284169.0,528293.0,43660.0,310097.0,166420.0,397002.0,358275.0,310097.0,20530.0,17151.0,14705.0,17687.0,14528.0,15413.0,12287.0,14552.0,11482.0,21993.0,31165.0,37369.0,28032.0,16051.0,19388.0,17764.0,06,019,0.8801923269170614,2020
"Humboldt County, California",49235.0,136101.0,99861.0,16228.0,1314.0,54120.0,30761.0,58659.0,47703.0,54120.0,3700.0,4073.0,2863.0,3318.0,3592.0,2647.0,2756.0,2368.0,2065.0,3609.0,5312.0,6084.0,4038.0,2666.0,2572.0,2457.0,06,023,0.9070768662232077,2020
"Imperial County, California",46222.0,180580.0,18393.0,152880.0,4317.0,45768.0,26589.0,58495.0,51788.0,45768.0,3433.0,3921.0,3257.0,3151.0,1977.0,2094.0,2425.0,2170.0,2020.0,2776.0,4012.0,5642.0,3854.0,2061.0,1659.0,1316.0,06,025,0.9349982520538367,2020
"Kern County, California",54851.0,892458.0,296505.0,480700.0,45312.0,273556.0,161113.0,339931.0,313924.0,273556.0,17563.0,16112.0,13422.0,14316.0,13800.0,14247.0,12639.0,12116.0,11425.0,20331.0,27077.0,34499.0,22716.0,14697.0,15873.0,12723.0,06,029,0.895465645059878,2020
"Kings County, California",61556.0,151090.0,47717.0,82954.0,8878.0,43604.0,23368.0,56560.0,51525.0,43604.0,2382.0,1517.0,1905.0,1623.0,2136.0,2109.0,1765.0,2386.0,2004.0,3232.0,5230.0,6453.0,4232.0,2281.0,2578.0,1771.0,06,031,0.900261443904229,2020
"Lassen County, California",56971.0,30600.0,19873.0,5893.0,2605.0,9172.0,6291.0,8106.0,7380.0,9172.0,333.0,465.0,480.0,519.0,408.0,452.0,447.0,439.0,446.0,836.0,1130.0,1170.0,923.0,467.0,446.0,211.0,06,035,0.9283689489751418,2020
"Madera County, California",61924.0,155925.0,52109.0,90958.0,4768.0,44479.0,29270.0,56457.0,50054.0,44479.0,2204.0,1923.0,1756.0,1751.0,2219.0,2164.0,2380.0,1912.0,2209.0,3182.0,4797.0,6365.0,4433.0,2960.0,2346.0,1878.0,06,039,0.9050338361923604,2020
"Marin County, California",121671.0,259441.0,183259.0,41737.0,5565.0,104900.0,66719.0,127210.0,89146.0,104900.0,3250.0,2404.0,2256.0,2570.0,2382.0,2347.0,2253.0,2893.0,2038.0,4941.0,7053.0,10007.0,9223.0,7944.0,12115.0,31224.0,06,041,0.5868541468064824,2020
"Mariposa County, California",50960.0,17319.0,13666.0,2041.0,266.0,7846.0,5520.0,6678.0,5037.0,7846.0,436.0,475.0,361.0,544.0,764.0,370.0,404.0,177.0,286.0,876.0,681.0,1047.0,420.0,369.0,410.0,226.0,06,043,0.9189395870507265,2020
"Mendocino County, California",52915.0,87110.0,55847.0,22354.0,424.0,34164.0,20611.0,36083.0,30088.0,34164.0,1735.0,2366.0,1924.0,1669.0,1839.0,1892.0,1517.0,1762.0,1339.0,3080.0,3293.0,3682.0,3400.0,1211.0,1768.0,1687.0,06,045,0.8988701557194708,2020
"Merced County, California",56330.0,273661.0,73587.0,164836.0,7626.0,81306.0,42480.0,102580.0,90544.0,81306.0,4443.0,4205.0,3514.0,3973.0,4172.0,3675.0,4140.0,4427.0,3840.0,6365.0,9781.0,9826.0,6980.0,4192.0,3992.0,3781.0,06,047,0.9043981993948786,2020
"Modoc County, California",51250.0,8853.0,6830.0,1317.0,123.0,3594.0,2752.0,3128.0,2472.0,3594.0,225.0,130.0,227.0,173.0,207.0,414.0,124.0,130.0,118.0,380.0,468.0,484.0,212.0,162.0,115.0,25.0,06,049,0.9610461880912632,2020
"Monterey County, California",76943.0,432977.0,127632.0,255512.0,10471.0,128003.0,66346.0,190195.0,156678.0,128003.0,4157.0,3110.0,3517.0,5278.0,4277.0,5480.0,4635.0,5021.0,4533.0,9694.0,12721.0,18828.0,12760.0,9148.0,10688.0,14156.0,06,053,0.8059107989656492,2020
"Napa County, California",92219.0,138572.0,71817.0,47300.0,2738.0,48484.0,31424.0,69147.0,59051.0,48484.0,1588.0,1302.0,1235.0,1281.0,1566.0,1405.0,1196.0,1634.0,1810.0,3102.0,3872.0,5788.0,5479.0,3523.0,5745.0,7958.0,06,055,0.7173706789868822,2020
"Nevada County, California",68333.0,99417.0,84317.0,9480.0,347.0,40917.0,30605.0,43959.0,34637.0,40917.0,1725.0,1617.0,1388.0,1989.0,1625.0,1846.0,1679.0,1631.0,1605.0,2776.0,3989.0,5363.0,4117.0,2445.0,3125.0,3997.0,06,057,0.825940318205147,2020
