county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"San Diego County, California",66529.0,3253356.0,1519704.0,1076319.0,154251.0,1103128.0,581635.0,1536747.0,1306221.0,1103128.0,61158.0,44613.0,42674.0,46991.0,45388.0,47301.0,43620.0,45445.0,41702.0,82404.0,105468.0,141686.0,108429.0,72052.0,84607.0,89590.0,06,073,0.8420881348311348,2016
"Tulare County, California",42789.0,455769.0,137157.0,287144.0,5866.0,134153.0,75761.0,165799.0,153450.0,134153.0,10404.0,9533.0,10189.0,9260.0,7985.0,8142.0,7492.0,6552.0,6647.0,10452.0,12521.0,13263.0,8505.0,5113.0,4569.0,3526.0,06,107,0.9396584496805885,2016
"Yolo County, California",57663.0,209671.0,100824.0,65448.0,4611.0,72544.0,37194.0,91743.0,71593.0,72544.0,5722.0,4143.0,4063.0,3021.0,3119.0,2944.0,3120.0,2909.0,2901.0,5364.0,6741.0,7827.0,6369.0,4112.0,5032.0,5157.0,06,113,0.8595473092192325,2016
"Humboldt County, California",42685.0,135182.0,101904.0,14530.0,1374.0,53689.0,29702.0,57607.0,47227.0,53689.0,4194.0,4329.0,3523.0,3736.0,3352.0,2956.0,2949.0,3116.0,2647.0,4553.0,4902.0,5872.0,3236.0,1639.0,1400.0,1285.0,06,023,0.9499897558159027,2016
"Nevada County, California",57429.0,98639.0,84469.0,9019.0,472.0,40587.0,29282.0,40067.0,33331.0,40587.0,1870.0,1912.0,1611.0,2038.0,2416.0,2262.0,1626.0,2161.0,2062.0,3013.0,3931.0,5122.0,3904.0,2339.0,2329.0,1991.0,06,057,0.8935619779732427,2016
"Alpine County, California",62375.0,1184.0,804.0,92.0,10.0,343.0,280.0,401.0,294.0,343.0,22.0,25.0,29.0,18.0,9.0,10.0,7.0,13.0,0.0,29.0,61.0,33.0,34.0,18.0,9.0,26.0,06,003,0.8979591836734694,2016
"Madera County, California",45742.0,153366.0,54887.0,86265.0,4679.0,43574.0,26458.0,47613.0,43535.0,43574.0,3534.0,2462.0,2469.0,2825.0,2650.0,2586.0,2528.0,2418.0,1787.0,3512.0,4314.0,4592.0,3417.0,1854.0,1434.0,1192.0,06,039,0.9397347041813926,2016
"Mendocino County, California",43510.0,87409.0,58018.0,20955.0,499.0,34594.0,19764.0,35629.0,30109.0,34594.0,2700.0,3102.0,2453.0,2106.0,2104.0,2273.0,1638.0,1511.0,1252.0,2639.0,3771.0,3635.0,2029.0,1547.0,1045.0,789.0,06,045,0.9469850263051396,2016
"Santa Cruz County, California",70088.0,270931.0,157652.0,89587.0,2156.0,95062.0,54853.0,128893.0,100704.0,95062.0,5572.0,3827.0,3662.0,4414.0,3457.0,3690.0,3653.0,3548.0,3330.0,6624.0,8775.0,11745.0,9114.0,5909.0,8164.0,9578.0,06,087,0.8133639098693485,2016
"Trinity County, California",35270.0,13180.0,10936.0,950.0,144.0,5468.0,3696.0,4590.0,3557.0,5468.0,566.0,485.0,502.0,623.0,186.0,361.0,172.0,276.0,241.0,355.0,499.0,559.0,342.0,103.0,87.0,111.0,06,105,0.9637893196781273,2016
"Los Angeles County, California",57952.0,10057155.0,2687787.0,4861648.0,801182.0,3281845.0,1499576.0,4591360.0,3815638.0,3281845.0,212577.0,185054.0,165741.0,169262.0,150477.0,155128.0,140733.0,142741.0,123117.0,234976.0,305209.0,382147.0,277765.0,180683.0,205799.0,250436.0,06,037,0.8609821609491003,2016
"Riverside County, California",57972.0,2323892.0,865631.0,1102968.0,137779.0,705716.0,454924.0,923845.0,834246.0,705716.0,39681.0,34014.0,33999.0,36407.0,34338.0,35405.0,32153.0,31947.0,29497.0,55047.0,73337.0,91864.0,63128.0,40153.0,42190.0,32556.0,06,065,0.8940848726683255,2016
"San Bernardino County, California",54469.0,2106754.0,642786.0,1089104.0,170376.0,618922.0,365576.0,834181.0,758356.0,618922.0,40943.0,34004.0,31554.0,33042.0,30872.0,29769.0,28808.0,29621.0,25356.0,50318.0,65115.0,79266.0,54240.0,30844.0,32658.0,22512.0,06,071,0.9108611424379809,2016
