county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Humboldt County, California",43718.0,135490.0,101460.0,14986.0,1389.0,53966.0,30500.0,57251.0,46468.0,53966.0,3997.0,4289.0,3434.0,3633.0,3459.0,3134.0,2839.0,2869.0,2353.0,4815.0,5111.0,6053.0,2910.0,1969.0,1495.0,1606.0,06,023,0.9425378942297001,2017
"Nevada County, California",60610.0,98838.0,84389.0,9109.0,541.0,40386.0,29975.0,40996.0,33997.0,40386.0,1939.0,1956.0,1583.0,2109.0,2086.0,1741.0,1637.0,2086.0,1822.0,3040.0,4083.0,4863.0,3964.0,2300.0,2614.0,2563.0,06,057,0.8718120140642797,2017
"Alpine County, California",63438.0,1203.0,777.0,117.0,18.0,304.0,253.0,364.0,274.0,304.0,10.0,25.0,12.0,14.0,12.0,7.0,18.0,10.0,5.0,16.0,63.0,21.0,42.0,19.0,4.0,26.0,06,003,0.9013157894736842,2017
"Madera County, California",48210.0,154440.0,54145.0,87852.0,4753.0,44458.0,27701.0,50407.0,46305.0,44458.0,3279.0,2649.0,2176.0,2697.0,2523.0,2564.0,2618.0,2464.0,1851.0,3433.0,4497.0,4887.0,3758.0,2128.0,1658.0,1276.0,06,039,0.9340051284358271,2017
"Mendocino County, California",46528.0,87497.0,57682.0,21402.0,560.0,34182.0,20230.0,35736.0,30278.0,34182.0,2494.0,2758.0,2209.0,1991.0,1824.0,2220.0,1632.0,1433.0,1535.0,2497.0,3651.0,3795.0,2273.0,1553.0,1211.0,1106.0,06,045,0.9322157860862442,2017
"Santa Cruz County, California",73663.0,273263.0,157988.0,91096.0,2204.0,95536.0,56992.0,130571.0,102164.0,95536.0,5466.0,4132.0,3261.0,4096.0,3543.0,3319.0,3443.0,3654.0,3061.0,6517.0,8065.0,11867.0,9054.0,6430.0,8424.0,11204.0,06,087,0.7945486518171161,2017
"Trinity County, California",36563.0,13037.0,10796.0,937.0,104.0,5462.0,3758.0,4610.0,3633.0,5462.0,541.0,495.0,435.0,579.0,183.0,438.0,140.0,358.0,191.0,328.0,494.0,557.0,359.0,103.0,176.0,85.0,06,105,0.95221530574881,2017
"Los Angeles County, California",61015.0,10105722.0,2676982.0,4893579.0,799579.0,3295198.0,1512364.0,4685201.0,3901845.0,3295198.0,201863.0,178737.0,156089.0,162639.0,144700.0,149564.0,135954.0,138917.0,120529.0,233537.0,306351.0,387502.0,287785.0,189618.0,224078.0,277335.0,06,037,0.8478352438912624,2017
"Riverside County, California",60807.0,2355002.0,861271.0,1130033.0,140810.0,711724.0,462788.0,954390.0,860364.0,711724.0,40131.0,32340.0,32545.0,34402.0,33451.0,33678.0,31676.0,31777.0,27524.0,53607.0,73146.0,92303.0,67588.0,43197.0,46395.0,37964.0,06,065,0.8814723123008357,2017
"San Bernardino County, California",57156.0,2121220.0,632557.0,1108996.0,168985.0,623642.0,369329.0,856541.0,778272.0,623642.0,37833.0,32481.0,29598.0,32255.0,29386.0,29636.0,27599.0,29372.0,25026.0,50706.0,66372.0,80147.0,57615.0,33236.0,36608.0,25772.0,06,071,0.8999746649520077,2017
"Santa Clara County, California",106761.0,1911226.0,622266.0,498253.0,45479.0,630451.0,358864.0,937067.0,801655.0,630451.0,21711.0,18023.0,15626.0,15862.0,15482.0,16283.0,16058.0,16121.0,15062.0,30823.0,45521.0,67153.0,63541.0,51912.0,80001.0,141272.0,06,085,0.6490242699274011,2017
"Marin County, California",104703.0,260814.0,186382.0,41391.0,5463.0,104846.0,67296.0,127260.0,93434.0,104846.0,3297.0,3109.0,2885.0,3455.0,2743.0,3017.0,2905.0,2817.0,2503.0,5460.0,6964.0,11060.0,10220.0,7702.0,10991.0,25718.0,06,041,0.6498769624019991,2017
"Placer County, California",80488.0,374985.0,276754.0,51131.0,5399.0,138564.0,98153.0,167691.0,146405.0,138564.0,5786.0,4874.0,4592.0,4355.0,4605.0,4753.0,4685.0,4497.0,4029.0,9046.0,13503.0,18278.0,15479.0,11748.0,14248.0,14086.0,06,061,0.7955168730694842,2017
"Siskiyou County, California",40884.0,43530.0,33587.0,5218.0,669.0,19018.0,12457.0,16073.0,13542.0,19018.0,1637.0,1411.0,1248.0,1525.0,1256.0,1100.0,1175.0,805.0,872.0,1551.0,1917.0,2062.0,975.0,584.0,552.0,348.0,06,093,0.9526764118203807,2017
"Shasta County, California",47258.0,178919.0,143919.0,17218.0,1951.0,70486.0,44095.0,70647.0,63252.0,70486.0,4722.0,5103.0,4203.0,4429.0,4118.0,3889.0,4047.0,3330.0,3166.0,5200.0,7525.0,7683.0,4945.0,2567.0,3284.0,2275.0,06,089,0.9211332746928468,2017
"Solano County, California",72950.0,434981.0,169436.0,112098.0,59862.0,147352.0,88381.0,194308.0,175338.0,147352.0,6558.0,5792.0,4577.0,5539.0,5263.0,5746.0,5442.0,6054.0,5392.0,10567.0,14601.0,21277.0,16033.0,11319.0,12884.0,10308.0,06,095,0.8426081763396492,2017
"Del Norte County, California",41287.0,27442.0,17233.0,5281.0,484.0,9683.0,5996.0,8223.0,7253.0,9683.0,1116.0,846.0,807.0,442.0,561.0,567.0,399.0,363.0,279.0,946.0,870.0,1155.0,618.0,250.0,259.0,205.0,06,015,0.9520809666425695,2017
"Colusa County, California",56481.0,21479.0,7800.0,12539.0,186.0,7047.0,4521.0,9262.0,8441.0,7047.0,287.0,398.0,260.0,431.0,340.0,387.0,314.0,342.0,396.0,546.0,918.0,1064.0,443.0,248.0,426.0,247.0,06,011,0.9044983680999007,2017
"Glenn County, California",46260.0,27935.0,14663.0,11407.0,212.0,9936.0,5724.0,10337.0,9136.0,9936.0,908.0,848.0,742.0,592.0,470.0,419.0,358.0,506.0,524.0,989.0,983.0,999.0,676.0,457.0,312.0,153.0,06,021,0.9532004830917874,2017
"Butte County, California",46516.0,225207.0,164184.0,35445.0,3282.0,86167.0,50844.0,90376.0,77820.0,86167.0,6902.0,6692.0,5984.0,4903.0,4363.0,4768.0,4138.0,3982.0,3995.0,6574.0,8293.0,9117.0,5873.0,3723.0,3611.0,3249.0,06,007,0.9203871551754151,2017
"Kings County, California",49742.0,150183.0,49728.0,80715.0,8916.0,42349.0,21925.0,55539.0,49986.0,42349.0,2410.0,2643.0,2186.0,2335.0,2379.0,2342.0,2437.0,2271.0,2286.0,2898.0,4463.0,5731.0,3384.0,1641.0,1678.0,1265.0,06,031,0.9305060332003117,2017
"Plumas County, California",50266.0,18724.0,15640.0,1599.0,160.0,8287.0,6016.0,7061.0,6271.0,8287.0,428.0,690.0,433.0,632.0,338.0,472.0,375.0,384.0,364.0,667.0,849.0,1117.0,650.0,246.0,359.0,283.0,06,063,0.9225292627006154,2017
"San Luis Obispo County, California",67175.0,280119.0,194355.0,62174.0,4958.0,105044.0,63052.0,128290.0,108739.0,105044.0,6203.0,4644.0,3632.0,4178.0,4402.0,3812.0,4118.0,4352.0,3754.0,7800.0,10857.0,13937.0,11072.0,7173.0,7394.0,7716.0,06,079,0.856155515783862,2017
"Fresno County, California",48730.0,971616.0,293677.0,509442.0,45217.0,301824.0,160001.0,379219.0,342564.0,301824.0,23007.0,20985.0,17877.0,18396.0,16906.0,17331.0,13195.0,14244.0,11931.0,23197.0,28641.0,33995.0,21894.0,13221.0,14789.0,12215.0,06,019,0.9105306403731976,2017
"Kern County, California",50826.0,878744.0,310638.0,458907.0,45024.0,264993.0,151564.0,329269.0,303191.0,264993.0,17815.0,16030.0,14808.0,16602.0,14480.0,14385.0,13626.0,12193.0,10640.0,19709.0,26874.0,30218.0,22873.0,11187.0,13647.0,9906.0,06,029,0.9111184069013144,2017
"Orange County, California",81851.0,3155816.0,1306398.0,1079172.0,49560.0,1024976.0,588551.0,1529381.0,1351996.0,1024976.0,44811.0,31551.0,30976.0,36161.0,33662.0,35837.0,32642.0,34596.0,33411.0,67323.0,93470.0,132491.0,107071.0,77515.0,100361.0,133098.0,06,059,0.7722297887950547,2017
"Ventura County, California",81972.0,847834.0,391128.0,358244.0,13416.0,270046.0,170678.0,401262.0,360025.0,270046.0,8483.0,8145.0,8504.0,9319.0,9363.0,9319.0,8212.0,9889.0,8876.0,18298.0,25922.0,37010.0,29999.0,21586.0,25670.0,31451.0,06,111,0.7884767780304096,2017
"Calaveras County, California",54800.0,45057.0,36932.0,5166.0,258.0,17812.0,13931.0,16310.0,14506.0,17812.0,868.0,991.0,1000.0,940.0,1067.0,804.0,721.0,1044.0,639.0,1432.0,1319.0,2399.0,1563.0,979.0,1234.0,812.0,06,009,0.8851336177857624,2017
"Sutter County, California",54347.0,95583.0,45239.0,28910.0,1768.0,32188.0,18357.0,37474.0,34262.0,32188.0,1702.0,1864.0,1712.0,1621.0,1577.0,1917.0,1623.0,1409.0,1550.0,2378.0,3597.0,4011.0,2739.0,1768.0,1599.0,1121.0,06,101,0.9154964583074438,2017
"San Mateo County, California",105667.0,763450.0,304751.0,190045.0,17457.0,261796.0,156400.0,396443.0,314479.0,261796.0,7547.0,6168.0,6147.0,6965.0,6161.0,6915.0,6741.0,7224.0,6334.0,13327.0,19492.0,30263.0,26501.0,21619.0,31418.0,58974.0,06,081,0.6547235251875506,2017
"Tuolumne County, California",54325.0,53899.0,43565.0,6385.0,924.0,22267.0,15458.0,19680.0,17468.0,22267.0,1352.0,1351.0,1169.0,994.0,1374.0,1035.0,1064.0,930.0,938.0,1926.0,2156.0,2968.0,1873.0,1078.0,1009.0,1050.0,06,109,0.9075313243813715,2017
"San Joaquin County, California",57813.0,724153.0,240170.0,295606.0,48175.0,223808.0,124734.0,286690.0,261648.0,223808.0,12972.0,12469.0,10615.0,12229.0,10487.0,10476.0,10120.0,9829.0,8079.0,17678.0,23123.0,27923.0,20102.0,13176.0,13516.0,11014.0,06,077,0.8903971261080926,2017
"Amador County, California",60636.0,37306.0,29571.0,4943.0,764.0,14185.0,10921.0,12847.0,11552.0,14185.0,606.0,627.0,780.0,845.0,730.0,792.0,557.0,465.0,655.0,932.0,1904.0,1980.0,1335.0,757.0,516.0,704.0,06,005,0.913993655269651,2017
"San Diego County, California",70588.0,3283665.0,1517153.0,1095458.0,154599.0,1111739.0,589144.0,1575008.0,1336018.0,1111739.0,56482.0,41917.0,40117.0,44131.0,43701.0,45158.0,42326.0,44568.0,39434.0,80491.0,106795.0,143133.0,113278.0,75532.0,90788.0,103888.0,06,073,0.8248905543477381,2017
