county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Alameda County, California",126240.0,1651949.0,466445.0,385245.0,159042.0,593117.0,320712.0,829369.0,512128.0,593117.0,23819.0,16181.0,11315.0,13000.0,11627.0,11707.0,13429.0,11036.0,12953.0,22616.0,36798.0,56400.0,53079.0,44690.0,72235.0,182232.0,06,001,0.5709666052397756,2023
"Alpine County, California",110781.0,1695.0,993.0,249.0,0.0,473.0,383.0,772.0,538.0,473.0,11.0,10.0,9.0,10.0,4.0,35.0,17.0,9.0,0.0,21.0,43.0,27.0,73.0,70.0,67.0,67.0,06,003,0.7167019027484144,2023
"Amador County, California",81526.0,41029.0,30234.0,6361.0,781.0,16066.0,12863.0,15671.0,12916.0,16066.0,948.0,538.0,253.0,373.0,539.0,441.0,359.0,729.0,402.0,1120.0,1696.0,2327.0,1741.0,1187.0,1825.0,1588.0,06,005,0.787563799327773,2023
"Butte County, California",68574.0,209470.0,139527.0,40829.0,3550.0,82345.0,47987.0,90852.0,74806.0,82345.0,4939.0,3301.0,3357.0,3674.0,3733.0,3315.0,3470.0,3282.0,2516.0,5326.0,7282.0,10066.0,7913.0,5021.0,6457.0,8693.0,06,007,0.8160179731616978,2023
"Calaveras County, California",79877.0,45995.0,35599.0,6403.0,529.0,17897.0,15099.0,17617.0,14238.0,17897.0,902.0,558.0,548.0,475.0,572.0,845.0,371.0,698.0,492.0,1289.0,1654.0,2541.0,1817.0,1277.0,1528.0,2330.0,06,009,0.7844331452198693,2023
"Colusa County, California",75149.0,21895.0,6869.0,13639.0,311.0,7466.0,4646.0,9188.0,8468.0,7466.0,417.0,277.0,294.0,365.0,270.0,271.0,255.0,344.0,137.0,524.0,573.0,1219.0,688.0,510.0,623.0,699.0,06,011,0.8229306188052504,2023
"Contra Costa County, California",125727.0,1161458.0,455961.0,316799.0,94864.0,411662.0,278509.0,554692.0,391055.0,411662.0,13675.0,8959.0,6730.0,6890.0,8074.0,7692.0,9548.0,8133.0,8409.0,17786.0,26314.0,42422.0,40253.0,33460.0,55825.0,117492.0,06,013,0.5789822718638106,2023
"Del Norte County, California",66780.0,27293.0,16668.0,5350.0,805.0,9621.0,6851.0,10022.0,8702.0,9621.0,311.0,648.0,457.0,395.0,296.0,466.0,223.0,332.0,451.0,795.0,842.0,1109.0,1132.0,538.0,1167.0,459.0,06,015,0.8309946990957281,2023
"El Dorado County, California",106190.0,192299.0,142547.0,27230.0,1522.0,75719.0,57838.0,85927.0,65787.0,75719.0,2614.0,1510.0,2383.0,1888.0,1717.0,2015.0,1681.0,1642.0,2005.0,3717.0,6014.0,8676.0,7880.0,7029.0,8542.0,16406.0,06,017,0.6705186280854211,2023
"Fresno County, California",71434.0,1012152.0,273299.0,547669.0,42060.0,322163.0,178533.0,413265.0,356481.0,322163.0,20429.0,13726.0,10461.0,12256.0,13023.0,10874.0,13429.0,10923.0,11238.0,21661.0,30444.0,40919.0,30749.0,23639.0,26800.0,31592.0,06,019,0.8187501358008213,2023
