county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Lake County, California",42475.0,64148.0,45623.0,12830.0,1426.0,25966.0,17157.0,22611.0,18528.0,25966.0,2374.0,2051.0,1691.0,1512.0,1745.0,1502.0,1404.0,1154.0,1049.0,1880.0,2150.0,3178.0,1641.0,968.0,959.0,708.0,06,033,0.9358006624046831,2018
"Merced County, California",50129.0,269075.0,76008.0,158494.0,8038.0,79606.0,41378.0,98647.0,88399.0,79606.0,5230.0,5097.0,4354.0,4273.0,4585.0,3992.0,4303.0,4519.0,3374.0,6129.0,8825.0,9425.0,5453.0,3471.0,3506.0,3070.0,06,047,0.9173931613194986,2018
"Mariposa County, California",51199.0,17540.0,14125.0,1909.0,166.0,7700.0,5310.0,6777.0,5045.0,7700.0,494.0,484.0,448.0,486.0,462.0,249.0,326.0,416.0,391.0,813.0,652.0,1060.0,461.0,412.0,384.0,162.0,06,043,0.9290909090909091,2018
"Modoc County, California",45149.0,8938.0,6962.0,1292.0,149.0,3660.0,2803.0,2998.0,2301.0,3660.0,288.0,166.0,256.0,246.0,356.0,218.0,113.0,181.0,187.0,402.0,332.0,424.0,218.0,164.0,81.0,28.0,06,049,0.9702185792349727,2018
"Contra Costa County, California",93712.0,1133247.0,502951.0,288101.0,93683.0,392277.0,257528.0,532887.0,422413.0,392277.0,13870.0,11757.0,10198.0,11218.0,11477.0,11037.0,11248.0,11813.0,11773.0,22506.0,32178.0,48475.0,41597.0,32747.0,43088.0,67295.0,06,013,0.7186095539631434,2018
"Inyo County, California",52874.0,18085.0,11389.0,3927.0,160.0,8083.0,5110.0,7901.0,6476.0,8083.0,240.0,574.0,407.0,387.0,605.0,459.0,345.0,478.0,361.0,623.0,1044.0,910.0,697.0,388.0,300.0,265.0,06,027,0.9301002103179512,2018
"Stanislaus County, California",57387.0,539301.0,229796.0,245973.0,14338.0,172682.0,99079.0,215593.0,197292.0,172682.0,8860.0,8979.0,8583.0,7993.0,8266.0,9120.0,8160.0,7930.0,7366.0,14255.0,17985.0,22512.0,16265.0,9612.0,9042.0,7754.0,06,099,0.9027345062021519,2018
"Santa Barbara County, California",71657.0,443738.0,199356.0,200060.0,7881.0,144962.0,75640.0,207593.0,169719.0,144962.0,6864.0,5491.0,5008.0,5808.0,5199.0,6331.0,5660.0,5638.0,5660.0,9903.0,13874.0,18558.0,13987.0,9913.0,11941.0,15127.0,06,083,0.8132752031566893,2018
"Mono County, California",63018.0,14174.0,9234.0,3866.0,40.0,4847.0,3014.0,8235.0,4800.0,4847.0,140.0,102.0,26.0,241.0,197.0,142.0,310.0,121.0,314.0,652.0,591.0,801.0,439.0,326.0,218.0,227.0,06,051,0.9081906333814731,2018
"San Benito County, California",81977.0,59416.0,20780.0,35248.0,434.0,17740.0,11264.0,27547.0,25496.0,17740.0,295.0,594.0,455.0,483.0,575.0,550.0,681.0,506.0,752.0,1016.0,2182.0,2420.0,2508.0,1341.0,1766.0,1616.0,06,069,0.8093573844419392,2018
