county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k,year
"Alameda County, California",122488.0,1663823.0,487452.0,369603.0,165390.0,585818.0,317451.0,827327.0,520203.0,585818.0,23324.0,16279.0,11815.0,13345.0,12677.0,12520.0,12285.0,11216.0,12699.0,24114.0,37041.0,58556.0,51722.0,44559.0,74078.0,169588.0,06,001,0.5840585301236902,2022
"Alpine County, California",101125.0,1515.0,880.0,213.0,0.0,435.0,360.0,638.0,452.0,435.0,9.0,10.0,9.0,12.0,12.0,24.0,22.0,11.0,0.0,46.0,32.0,26.0,49.0,53.0,57.0,63.0,06,003,0.7241379310344828,2022
"Amador County, California",74853.0,40577.0,30393.0,6140.0,668.0,15745.0,12440.0,15508.0,12984.0,15745.0,880.0,492.0,411.0,523.0,540.0,455.0,489.0,743.0,636.0,1349.0,1366.0,2313.0,1418.0,1208.0,1583.0,1339.0,06,005,0.8144172753255001,2022
"Butte County, California",66085.0,213605.0,147001.0,38361.0,3695.0,83319.0,48424.0,91975.0,76390.0,83319.0,4936.0,3741.0,3431.0,3768.0,4068.0,3772.0,3452.0,3093.0,2966.0,5469.0,7031.0,10426.0,7871.0,5137.0,6571.0,7587.0,06,007,0.8300747728609321,2022
"Calaveras County, California",77526.0,45674.0,35747.0,6197.0,450.0,17198.0,14114.0,17014.0,14100.0,17198.0,768.0,520.0,498.0,575.0,664.0,679.0,489.0,782.0,557.0,1179.0,1601.0,2546.0,1812.0,1116.0,1610.0,1802.0,06,009,0.8016048377718339,2022
"Colusa County, California",69619.0,21811.0,7303.0,13280.0,306.0,7432.0,4686.0,9477.0,8734.0,7432.0,312.0,237.0,297.0,378.0,362.0,330.0,392.0,260.0,232.0,495.0,662.0,1233.0,559.0,467.0,655.0,561.0,06,011,0.8363832077502691,2022
"Contra Costa County, California",120020.0,1162648.0,471751.0,306895.0,97612.0,408537.0,274388.0,556391.0,399271.0,408537.0,13696.0,9877.0,6868.0,7518.0,8689.0,8232.0,9368.0,8575.0,9055.0,18082.0,25691.0,43813.0,42368.0,33886.0,53204.0,109615.0,06,013,0.6014583746392616,2022
"Del Norte County, California",61149.0,27462.0,16676.0,5607.0,730.0,9530.0,6492.0,9607.0,8263.0,9530.0,313.0,761.0,503.0,373.0,356.0,451.0,335.0,323.0,557.0,679.0,922.0,1165.0,949.0,638.0,764.0,441.0,06,015,0.8735571878279118,2022
"El Dorado County, California",99246.0,191713.0,144831.0,25930.0,1248.0,75190.0,57235.0,86127.0,67504.0,75190.0,2808.0,1919.0,2331.0,1940.0,2063.0,1926.0,1874.0,1699.0,2258.0,3757.0,6236.0,9015.0,7995.0,6001.0,8180.0,15188.0,06,017,0.689213991222237,2022
"Fresno County, California",67756.0,1008280.0,275765.0,546774.0,42216.0,318322.0,172455.0,411511.0,360440.0,318322.0,19751.0,14293.0,11964.0,13008.0,14102.0,12739.0,12724.0,11024.0,12371.0,22315.0,29341.0,40104.0,30001.0,21836.0,25310.0,27439.0,06,019,0.834290435471001,2022
